policy,accuracy,mean_loss,mean_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,under_mean_regret,over_mean_regret
fixed_k1,0.5333333333333333,0.16770921914966194,0.025601550828463094,0.10302316959890084,0.5333333333333333,0.4666666666666667,35,0,0.05486046606099235,0.0
fixed_k2,0.3333333333333333,0.14792748209349874,0.00581981377229988,0.06960889750293561,0.84,0.16,10,40,0.04206174969223811,0.00039671340000274754
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.008996625274786896,0.96,0.04,0,65,0.0,0.00034602129426622994
exact_label_model,0.6666666666666666,0.15002413681867027,0.00791646849747144,0.09518820021482474,0.8,0.2,12,13,0.047582890882077095,0.0017492651327256081
direct_loss_model,0.30666666666666664,0.14609531806554793,0.003987649744349093,0.057717810433482175,0.8666666666666667,0.13333333333333333,8,44,0.03569737149670799,0.0003066990648299557
risk_sensitive_0.000,0.30666666666666664,0.14609531806554793,0.003987649744349093,0.057717810433482175,0.8666666666666667,0.13333333333333333,8,44,0.03569737149670799,0.0003066990648299557
risk_sensitive_0.002,0.2,0.14609531806554793,0.003987649744349093,0.057717810433482175,0.8666666666666667,0.13333333333333333,8,52,0.03569737149670799,0.00025951459331765485
risk_sensitive_0.005,0.13333333333333333,0.14509197037825197,0.0029843020570531247,0.057717810433482175,0.8933333333333333,0.10666666666666667,6,59,0.03505464923774438,0.00022872472631386528
risk_sensitive_0.010,0.13333333333333333,0.14315551039899127,0.001047842077792415,0.057717810433482175,0.9466666666666667,0.05333333333333334,2,63,0.03254669849095654,0.0002142025214685405
risk_sensitive_0.020,0.10666666666666667,0.1432754654026551,0.0011677970814562403,0.057717810433482175,0.9333333333333333,0.06666666666666667,2,65,0.03254669849095654,0.00034602129426622994
oracle,1.0,0.14210766832119884,0.0,0.0,1.0,0.0,0,0,0.0,0.0
