generation_seed,test_index,primary_action,support_baseline_action,calibration_guard_action,support_changed_action,guard_changed_support_action,baseline_expansion_outcome,guarded_expansion_outcome,baseline_regret,guarded_regret,primary_regret,context_support_distance,calibration_probability_baseline_action,calibration_threshold,predicted_baseline_action_loss,realized_baseline_action_loss,baseline_action_loss_error,severe_underestimation,true_best_action,true_responsive_action,vetoed_actions,veto_class
44094,32,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.2054691262266504,0.5617190848381267,0.468010308717,0.1740847705661803,0.11554489272376177,0.05853987784241853,0,2,2,2,beneficial
44095,13,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.1071701334929505,0.6489301332784998,0.468010308717,0.15132731867184565,0.06253040755033701,0.08879691112150864,0,1,2,2,beneficial
44095,19,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,1.860569449385721,0.6525699589942886,0.468010308717,0.10323460534581053,0.0806486805415908,0.022585924804219726,0,1,2,2,beneficial
44095,29,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.0242441725274256,0.6315078880958932,0.468010308717,0.13850414818021775,0.02882433476852387,0.10967981341169389,0,1,2,2,beneficial
44095,33,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,1.9486067380823342,0.6553888602725193,0.468010308717,0.1285281033575394,0.027947674047624434,0.10058042930991495,0,1,2,2,beneficial
44095,48,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,1.7355372554910562,0.6759343548770714,0.468010308717,0.1195804919609403,0.1367511963471561,-0.017170704386215804,0,1,2,2,beneficial
44096,20,3,1,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.44938780751027,0.7400766401897484,0.468010308717,0.10390128756209825,0.08076170703698378,0.023139580525114473,0,1,1,1,beneficial
44096,22,2,1,2,1,1,harmful,neutral,0.0023762787710386313,0.0,0.0,2.467354505088006,0.638081765917414,0.468010308717,0.18945303023305818,0.2659099361725976,-0.07645690593953944,1,2,2,1,harmful
44097,18,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.3759265831800205,0.5706213632073117,0.468010308717,0.19457324947730384,0.2666724674911643,-0.07209921801386046,1,2,3,2,beneficial
44097,22,3,1,3,1,1,harmful,neutral,0.08779151747751225,0.0,0.0,2.482999544312695,0.6529962480553096,0.468010308717,0.13788336446865274,0.15094224376222526,-0.013058879293572523,0,2,3,1,harmful
44098,6,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,1.9675338490136718,0.7609403704218608,0.468010308717,0.15222127014866932,0.11589150646001053,0.036329763688658784,0,1,2,2,beneficial
44098,31,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.0016642906476436,0.7253482481006598,0.468010308717,0.15097729620963335,0.13258066209744168,0.018396634112191668,0,1,1,2,beneficial
44099,0,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.0152715331890843,0.6312835577963383,0.468010308717,0.14018191537849137,0.027368740121470916,0.11281317525702045,0,1,2,2,beneficial
44099,4,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.300333604587956,0.7178047929148498,0.468010308717,0.1653211879719513,0.11397574710286565,0.05134544086908566,0,1,2,2,beneficial
44100,49,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.0258060695235165,0.555377834771248,0.468010308717,0.12779859430285323,0.10090157552547918,0.02689701877737405,0,2,2,2,beneficial
44101,5,3,1,3,1,1,harmful,neutral,0.08920453549650931,0.0,0.0,1.761078352115239,0.5341272440475482,0.468010308717,0.10681091701336692,0.16908089134496615,-0.062269974331599226,1,2,3,1,harmful
44103,4,3,1,3,1,1,harmful,neutral,0.09157732648995356,0.0,0.0,1.809127544062786,0.5213466678943514,0.468010308717,0.11359633335503082,0.17194784364052684,-0.058351510285496025,1,2,3,1,harmful
44103,33,3,1,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.097942972405087,0.6037489245017527,0.468010308717,0.12332866759484036,0.1343900841919805,-0.011061416597140147,0,1,1,1,beneficial
44104,43,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.12671370713423,0.5049064907559684,0.468010308717,0.11683407403708605,0.09204697720339962,0.024787096833686434,0,1,2,2,beneficial
44105,48,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.1924201163028174,0.5125880936561616,0.468010308717,0.14070578828245123,0.1520415352551772,-0.011335746972725963,0,1,2,2,beneficial
44108,38,3,1,3,1,1,harmful,neutral,0.0918432570224697,0.0,0.0,2.182093175957708,0.48396062744546225,0.468010308717,0.14239371172106666,0.18665581019921473,-0.044262098478148076,0,2,3,1,harmful
44110,6,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.4435174599101055,0.5222390195562912,0.468010308717,0.18410877690686883,0.12266376322289743,0.0614450136839714,0,2,2,2,beneficial
