record_type,group,diagnostic,count,mean,median,min,max,first_count,second_count,first_mean,second_mean,standardized_difference
group_summary,harmful_vetoed,state_harmful_probability,5,0.7144657330312688,0.7244493716139995,0.5923613097117761,0.7756677728925224,,,,,
group_summary,harmful_vetoed,current_mismatch_indicator,5,0.5064513062668271,0.6423916688551128,0.054303427623651736,0.7160832198708007,,,,,
group_summary,harmful_vetoed,anchor_age,5,17.6,16.0,12.0,23.0,,,,,
group_summary,harmful_vetoed,trigger_score,5,7.265000802197671,7.811138833663312,4.783886377017327,9.779638565083934,,,,,
group_summary,harmful_vetoed,support_distance_baseline_action,5,2.2763737228248178,2.2765595323717394,2.0443029691089567,2.443103492317111,,,,,
group_summary,harmful_vetoed,safety_score_baseline_action,5,0.7532823982851944,0.7331810064935067,0.6640109126984126,0.9378435841388142,,,,,
group_summary,harmful_vetoed,downside_score_baseline_action,5,0.006745832610298001,0.004078312639530232,0.0013915780065034448,0.019434626405956137,,,,,
group_summary,harmful_vetoed,baseline_regret,5,0.03891880493075732,0.042884636162847545,0.009564095499414949,0.0689557556028303,,,,,
group_summary,harmful_vetoed,regret_difference_guard_minus_baseline,5,-0.03891880493075732,-0.042884636162847545,-0.0689557556028303,-0.009564095499414949,,,,,
group_summary,harmful_preserved,state_harmful_probability,1,0.13071786799554547,0.13071786799554547,0.13071786799554547,0.13071786799554547,,,,,
group_summary,harmful_preserved,current_mismatch_indicator,1,0.0041012785806398945,0.0041012785806398945,0.0041012785806398945,0.0041012785806398945,,,,,
group_summary,harmful_preserved,anchor_age,1,19.0,19.0,19.0,19.0,,,,,
group_summary,harmful_preserved,trigger_score,1,10.795117494348787,10.795117494348787,10.795117494348787,10.795117494348787,,,,,
group_summary,harmful_preserved,support_distance_baseline_action,1,2.2915654730817034,2.2915654730817034,2.2915654730817034,2.2915654730817034,,,,,
group_summary,harmful_preserved,safety_score_baseline_action,1,0.6867991071428574,0.6867991071428574,0.6867991071428574,0.6867991071428574,,,,,
group_summary,harmful_preserved,downside_score_baseline_action,1,0.008557762665903074,0.008557762665903074,0.008557762665903074,0.008557762665903074,,,,,
group_summary,harmful_preserved,baseline_regret,1,0.10257280196541352,0.10257280196541352,0.10257280196541352,0.10257280196541352,,,,,
group_summary,harmful_preserved,regret_difference_guard_minus_baseline,1,0.0,0.0,0.0,0.0,,,,,
group_summary,beneficial_vetoed,state_harmful_probability,36,0.741758265121079,0.7486631644793369,0.5569246789764755,0.9983547722496268,,,,,
group_summary,beneficial_vetoed,current_mismatch_indicator,36,0.5793901518549346,0.4608742218282773,0.054303427623651736,2.096823514759016,,,,,
group_summary,beneficial_vetoed,anchor_age,36,14.555555555555555,12.5,3.0,36.0,,,,,
group_summary,beneficial_vetoed,trigger_score,36,7.028510838566261,5.463428110541001,4.612339812534982,17.264514668744685,,,,,
group_summary,beneficial_vetoed,support_distance_baseline_action,36,1.998112238721437,2.0590048829253247,1.2961643910126897,2.4843161886760545,,,,,
group_summary,beneficial_vetoed,safety_score_baseline_action,36,0.7542352646105711,0.757264136904762,0.6007529761904765,0.9788238636363635,,,,,
group_summary,beneficial_vetoed,downside_score_baseline_action,36,0.004407568265728731,0.0009422166473140024,0.0,0.018525818860478462,,,,,
group_summary,beneficial_vetoed,baseline_regret,36,0.0,0.0,0.0,0.0,,,,,
group_summary,beneficial_vetoed,regret_difference_guard_minus_baseline,36,0.0,0.0,0.0,0.0,,,,,
group_summary,beneficial_preserved,state_harmful_probability,64,0.30268055700272667,0.32083546003537383,0.024421370537710832,0.4713685266765283,,,,,
group_summary,beneficial_preserved,current_mismatch_indicator,64,0.11185547963472889,0.06432111920289982,0.0006321828969838392,0.6676232221339767,,,,,
group_summary,beneficial_preserved,anchor_age,64,24.59375,19.0,7.0,54.0,,,,,
group_summary,beneficial_preserved,trigger_score,64,7.903136380792467,6.337855453748655,4.560355657254428,17.264514668744685,,,,,
group_summary,beneficial_preserved,support_distance_baseline_action,64,2.004150867993942,2.026366112966189,1.3361864845940257,2.4870163151909153,,,,,
group_summary,beneficial_preserved,safety_score_baseline_action,64,0.7700323714642563,0.7633008363164615,0.603029761904762,0.9484166666666667,,,,,
group_summary,beneficial_preserved,downside_score_baseline_action,64,0.003968376533554238,0.0009888239529573322,0.0,0.01981396196501807,,,,,
group_summary,beneficial_preserved,baseline_regret,64,0.0,0.0,0.0,0.0,,,,,
group_summary,beneficial_preserved,regret_difference_guard_minus_baseline,64,0.0,0.0,0.0,0.0,,,,,
group_summary,neutral_vetoed,state_harmful_probability,3,0.6299692110777588,0.5723911414539045,0.5569246789764755,0.7605918128028966,,,,,
group_summary,neutral_vetoed,current_mismatch_indicator,3,0.3805177463912689,0.406528794257458,0.2966733897956209,0.4383510551207277,,,,,
group_summary,neutral_vetoed,anchor_age,3,22.333333333333332,18.0,13.0,36.0,,,,,
group_summary,neutral_vetoed,trigger_score,3,6.192761222813028,5.602146552174002,5.164998282601772,7.811138833663312,,,,,
group_summary,neutral_vetoed,support_distance_baseline_action,3,1.9359726672697777,1.934849958906612,1.9320605605573224,1.9410074823453989,,,,,
group_summary,neutral_vetoed,safety_score_baseline_action,3,0.7363427128427128,0.7043540313852813,0.6723839285714286,0.8322901785714286,,,,,
group_summary,neutral_vetoed,downside_score_baseline_action,3,0.001215728825963221,0.0014818485724088603,3.0317397183407015e-05,0.002135020508297395,,,,,
group_summary,neutral_vetoed,baseline_regret,3,0.0,0.0,0.0,0.0,,,,,
group_summary,neutral_vetoed,regret_difference_guard_minus_baseline,3,0.0,0.0,0.0,0.0,,,,,
group_summary,neutral_preserved,state_harmful_probability,11,0.31018007297990063,0.4049982166544793,0.024421370537710832,0.4656720470246802,,,,,
group_summary,neutral_preserved,current_mismatch_indicator,11,0.13679128206673205,0.09015088490054679,0.03925734127395693,0.2960889628364405,,,,,
group_summary,neutral_preserved,anchor_age,11,26.272727272727273,30.0,10.0,40.0,,,,,
group_summary,neutral_preserved,trigger_score,11,8.58193385484814,7.114455379828495,4.560355657254428,15.35241468980229,,,,,
group_summary,neutral_preserved,support_distance_baseline_action,11,2.037767760357033,2.038738911017677,1.517069667653995,2.4451618300381277,,,,,
group_summary,neutral_preserved,safety_score_baseline_action,11,0.6936565205627707,0.6834077380952382,0.631732142857143,0.7715119047619045,,,,,
group_summary,neutral_preserved,downside_score_baseline_action,11,0.000569146805387489,0.0002165590068184147,0.0,0.0023401401633762345,,,,,
group_summary,neutral_preserved,baseline_regret,11,0.0,0.0,0.0,0.0,,,,,
group_summary,neutral_preserved,regret_difference_guard_minus_baseline,11,0.0,0.0,0.0,0.0,,,,,
comparison,harmful_vetoed_vs_beneficial_vetoed,state_harmful_probability,41,-0.027292532089810195,,,,5,36,0.7144657330312688,0.741758265121079,-0.18932585487380613
comparison,harmful_vetoed_vs_beneficial_vetoed,current_mismatch_indicator,41,-0.07293884558810748,,,,5,36,0.5064513062668271,0.5793901518549346,-0.16306825601274075
comparison,harmful_vetoed_vs_beneficial_vetoed,anchor_age,41,3.044444444444446,,,,5,36,17.6,14.555555555555555,0.3067302811899046
