record_type,metric,beneficial_count,harmful_count,beneficial_mean,harmful_mean,difference_harmful_minus_beneficial,beneficial_median,harmful_median,beneficial_min,beneficial_max,harmful_min,harmful_max,standardized_difference,harmful_value,harmful_percentile_vs_beneficial,harmful_z_vs_beneficial,beneficial_less,beneficial_equal,beneficial_greater
group_comparison,predicted_loss_ceiling,4,1,0.2211803716713508,0.20465148704690467,-0.016528884624446127,0.19689895978254712,0.20465148704690467,0.1691064631122514,0.3218171040080575,0.20465148704690467,0.20465148704690467,nan,,,,,,
group_comparison,context_support_distance,4,1,1.6797533622689065,1.504894373527185,-0.17485898874172157,1.6277240773894683,1.504894373527185,1.583973571029065,1.8795917232676245,1.504894373527185,1.504894373527185,nan,,,,,,
group_comparison,predicted_baseline_action_loss,4,1,0.19558351087152093,0.1977628715618346,0.0021793606903136864,0.1939323855121734,0.1977628715618346,0.1557838671572424,0.23868540530449456,0.1977628715618346,0.1977628715618346,nan,,,,,,
group_comparison,baseline_action_loss_error,4,1,0.08258166689960254,-0.05306391285202175,-0.13564557975162428,0.11944943779779818,-0.05306391285202175,-0.046744674299566136,0.13817246630237998,-0.05306391285202175,-0.05306391285202175,nan,,,,,,
group_comparison,baseline_regret,4,1,0.0,0.01000850426731767,0.01000850426731767,0.0,0.01000850426731767,0.0,0.0,0.01000850426731767,0.01000850426731767,nan,,,,,,
harmful_rank_against_beneficial,predicted_loss_ceiling,,,0.2211803716713508,,,,,0.1691064631122514,0.3218171040080575,,,,0.20465148704690467,0.5,-0.23607275188374577,2,0,2
harmful_rank_against_beneficial,context_support_distance,,,1.6797533622689065,,,,,1.583973571029065,1.8795917232676245,,,,1.504894373527185,0.0,-1.2700844207555602,0,0,4
harmful_rank_against_beneficial,predicted_baseline_action_loss,,,0.19558351087152093,,,,,0.1557838671572424,0.23868540530449456,,,,0.1977628715618346,0.5,0.05753910322278366,2,0,2
harmful_rank_against_beneficial,baseline_action_loss_error,,,0.08258166689960254,,,,,-0.046744674299566136,0.13817246630237998,,,,-0.05306391285202175,0.0,-1.5649690388317956,0,0,4
harmful_rank_against_beneficial,baseline_regret,,,0.0,,,,,0.0,0.0,,,,0.01000850426731767,1.0,nan,4,0,0
