learning_rate,final_estimated_a,parameter_absolute_error,parameter_relative_error,prediction_rmse,bounded,convergence_step
0.01,0.6843341947838218,0.2356658052161782,0.25615848393062846,3.1612341994441264,True,
0.02,0.7885233162918647,0.13147668370813537,0.1429094388131906,2.373997118155645,True,
0.04,0.8797963821654243,0.04020361783457571,0.043699584602799685,1.49432056321211,True,
0.08,0.9165098978547221,0.0034901021452778958,0.003793589288345539,0.8075992270666079,True,47
0.12,0.9197275631632225,0.0002724368367775787,0.00029612699649736815,0.5418861911071229,True,31
0.2,0.9199988405842389,1.1594157611760636e-06,1.2602345230174603e-06,0.32249830782625133,True,19
0.4,0.9199999999999127,8.737455203799982e-14,9.497233917173893e-14,0.16270956238309128,True,9
