transition,metric,population_count,mean,median,std,minimum,maximum,range,coefficient_of_variation
0.30->0.35,analytic_transition_weight,8,0.6298694785107821,0.630955746303312,0.13044881597718583,0.3911902558416001,0.8225879427116568,0.4313976868700567,0.20710451994849724
0.30->0.35,performance_term,8,0.5175102096781982,0.492407079488954,0.1069496624644246,0.35842864579644274,0.7209397036221357,0.36251105782569293,0.20666193722231835
0.30->0.35,responsiveness_term,8,-0.3138017399766222,-0.3075960635404728,0.03380520461950402,-0.36575064890699865,-0.2705102782657369,0.09524037064126173,0.10772790686891177
0.30->0.35,regret_term,8,0.2633816527866451,0.24226119710489227,0.06380903314674229,0.17297226402646404,0.382750317565944,0.20977805353947998,0.24226832989931693
0.30->0.35,under_term,8,0.25412855689155306,0.24527999392277708,0.04572552823025086,0.1854563817699787,0.33818938605619164,0.15273300428621295,0.17993069645362128
0.30->0.35,over_term,8,-0.16266909294127765,-0.15802312403236976,0.02062456383521976,-0.19312065450032212,-0.13845731204786255,0.05466334245245957,0.1267884603171979
0.30->0.35,entropy_term,8,-0.15113264703534457,-0.15308677242954075,0.02003409334368913,-0.18002361062094396,-0.11953163102489132,0.06049197959605264,0.1325596668667086
0.35->0.40,analytic_transition_weight,8,1.3677253361459687,1.3474823587165101,0.45514213578568924,0.6821497629782938,2.1298901866798152,1.4477404237015215,0.3327730530080016
0.35->0.40,performance_term,8,0.3572330972662797,0.38350072974216,0.11394066061302861,0.20557123635506702,0.5686494713050707,0.3630782349500037,0.31895325904838495
0.35->0.40,responsiveness_term,8,-0.44033709917711894,-0.4291211630409711,0.060022610421560804,-0.5573491924766127,-0.3734131923409961,0.18393600013561662,0.13631059143944085
0.35->0.40,regret_term,8,0.16315285473015476,0.19594255729055735,0.08997441415450179,-0.023241662999235985,0.2980232955458657,0.3212649585451017,0.5514731219586332
0.35->0.40,under_term,8,0.194080242536125,0.19456391673258086,0.05216798786470634,0.11099549080818588,0.27062617575920506,0.15963068495101917,0.26879597419606527
0.35->0.40,over_term,8,-0.22296819978252497,-0.21843582814686138,0.03330109721865321,-0.29983822227648627,-0.1835911807601017,0.11624704151638457,0.1493535726221671
0.35->0.40,entropy_term,8,-0.21736889939459397,-0.21068533489410968,0.03818650870156366,-0.2773181250029626,-0.16096297361220654,0.11635515139075606,0.17567604568969616
