record_type,metric,blocks,harmful_higher_blocks,direction_stability,mean_standardized_difference,min_standardized_difference,max_standardized_difference,mean_rank_auc,min_rank_auc,max_rank_auc,block,beneficial_count,harmful_count,beneficial_mean,harmful_mean,difference_harmful_minus_beneficial,standardized_difference,rank_auc_harmful_high,harmful_higher
stability_summary,predicted_action_loss,2,1,0.5,-0.08620066663046072,-0.8079050940237622,0.6355037607628408,0.4445317410433689,0.26744186046511625,0.6216216216216216,,,,,,,,,
stability_summary,local_mean_error,2,0,0.0,-0.8689717892567594,-1.0452675026069702,-0.6926760759065486,0.26393253718835114,0.21705426356589147,0.3108108108108108,,,,,,,,,
stability_summary,local_error_std,2,2,1.0,1.2227916170011348,0.7734456071331178,1.6721376268691517,0.8057825267127593,0.7162162162162162,0.8953488372093024,,,,,,,,,
stability_summary,local_underestimate_fraction,2,2,1.0,1.0487948108896783,0.9031451773349122,1.1944444444444444,0.7712392625183323,0.751937984496124,0.7905405405405406,,,,,,,,,
stability_summary,local_severe_underestimate_fraction,2,1,0.5,0.9728459576835533,-0.4508348173337162,2.396526732700823,0.6697569662685942,0.40540540540540543,0.9341085271317829,,,,,,,,,
block_feature,predicted_action_loss,,,,,,,,,,block_071_090,37,2,0.16987669681439502,0.2036766355018895,0.03379993868749448,0.6355037607628408,0.6216216216216216,1
block_feature,local_mean_error,,,,,,,,,,block_071_090,37,2,0.07382857734487887,0.048379937326494225,-0.025448640018384643,-0.6926760759065486,0.3108108108108108,0
block_feature,local_error_std,,,,,,,,,,block_071_090,37,2,0.05275522278722941,0.06842225943706799,0.01566703664983858,0.7734456071331178,0.7162162162162162,1
block_feature,local_underestimate_fraction,,,,,,,,,,block_071_090,37,2,0.11969111969111969,0.2857142857142857,0.16602316602316602,1.1944444444444444,0.7905405405405406,1
block_feature,local_severe_underestimate_fraction,,,,,,,,,,block_071_090,37,2,0.03861003861003861,0.0,-0.03861003861003861,-0.4508348173337162,0.40540540540540543,0
block_feature,predicted_action_loss,,,,,,,,,,block_091_110,43,6,0.15809631285548106,0.13380083667029163,-0.02429547618518943,-0.8079050940237622,0.26744186046511625,0
block_feature,local_mean_error,,,,,,,,,,block_091_110,43,6,0.05775124730239317,0.018463093629002936,-0.03928815367339024,-1.0452675026069702,0.21705426356589147,0
block_feature,local_error_std,,,,,,,,,,block_091_110,43,6,0.05289373196609647,0.08362655166219958,0.030732819696103107,1.6721376268691517,0.8953488372093024,1
block_feature,local_underestimate_fraction,,,,,,,,,,block_091_110,43,6,0.16943521594684385,0.3333333333333333,0.16389811738648946,0.9031451773349122,0.751937984496124,1
block_feature,local_severe_underestimate_fraction,,,,,,,,,,block_091_110,43,6,0.05980066445182724,0.2857142857142857,0.22591362126245845,2.396526732700823,0.9341085271317829,1
