model,held_out_seed,test_rows,test_unsafe,test_safe,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc
context_support_only,44191,243,39,204,0.5401583710407241,0.15384615384615385,0.2857142857142857,0.9264705882352942,0.573529411764706
context_support_only,44192,237,30,207,0.590096618357488,0.23333333333333334,0.3888888888888889,0.9468599033816425,0.6077294685990339
context_support_only,44193,234,36,198,0.5681818181818182,0.16666666666666666,0.5,0.9696969696969697,0.5997474747474747
context_support_only,44194,228,29,199,0.608126841102062,0.2413793103448276,0.5833333333333334,0.9748743718592965,0.6057875584820656
context_support_only,44195,213,19,194,0.5712154096581661,0.15789473684210525,0.5,0.9845360824742269,0.5260444926749864
context_support_only,44196,234,21,213,0.5643863179074446,0.14285714285714285,0.5,0.9859154929577465,0.4896042924211938
context_support_only,44197,222,20,202,0.5200495049504951,0.05,0.3333333333333333,0.9900990099009901,0.549009900990099
context_support_only,44198,228,24,204,0.5,0.0,0.0,1.0,0.5306372549019608
context_support_only,44199,225,27,198,0.5,0.0,0.0,1.0,0.5123456790123456
context_support_only,44200,207,28,179,0.5284317637669593,0.10714285714285714,0.25,0.9497206703910615,0.5849960095770151
context_support_only,44201,207,22,185,0.5438574938574938,0.13636363636363635,0.25,0.9513513513513514,0.6164619164619164
context_support_only,44202,201,21,180,0.6444444444444445,0.3333333333333333,0.4666666666666667,0.9555555555555556,0.6444444444444445
context_support_only,44203,204,24,180,0.6152777777777778,0.2916666666666667,0.3888888888888889,0.9388888888888889,0.6250000000000001
context_support_only,44204,210,26,184,0.6241638795986622,0.34615384615384615,0.3333333333333333,0.9021739130434783,0.6849916387959866
context_support_only,44205,213,26,187,0.7045454545454546,0.5,0.43333333333333335,0.9090909090909091,0.744343891402715
context_support_only,44206,210,35,175,0.6714285714285714,0.42857142857142855,0.5,0.9142857142857143,0.7568979591836734
context_support_only,44207,210,43,167,0.5664252889569698,0.16279069767441862,0.5833333333333334,0.9700598802395209,0.7245508982035928
context_support_only,44208,213,40,173,0.5951589595375723,0.225,0.6,0.9653179190751445,0.6504335260115608
context_support_only,44209,216,37,179,0.5722482258795109,0.1891891891891892,0.4666666666666667,0.9553072625698324,0.6882077608334591
context_support_only,44210,213,32,181,0.6442506906077348,0.34375,0.5238095238095238,0.9447513812154696,0.7097720994475138
context_support_only,44211,213,29,184,0.6071026986506747,0.2413793103448276,0.5833333333333334,0.9728260869565217,0.6827211394302848
context_support_only,44212,213,30,183,0.6254098360655738,0.3,0.5,0.9508196721311475,0.6289617486338799
context_support_only,44213,210,27,183,0.6159684274438373,0.25925925925925924,0.5833333333333334,0.9726775956284153,0.6757741347905283
context_support_only,44214,204,28,176,0.6351461038961039,0.32142857142857145,0.5,0.9488636363636364,0.7155032467532468
