generation_seed,test_index,outcome,primary_action,expanded_action,true_responsive_action,action_step,safety_score,downside_score,support_distance,predicted_under_risk,predicted_loss_k1,predicted_loss_k2,predicted_loss_k3,predicted_loss_k1_minus_k2,predicted_loss_k1_minus_k3,predicted_loss_k2_minus_k3,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,primary_regret,expanded_regret,incremental_regret,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate,expanded_action_reconstructed,context_support_distance,action_support_distance,epistemic_excess,predicted_action_loss,predicted_relative_loss,harmful_target
44001,1,harmful,3,1,3,2,0.8217445436507935,0.016663517821969877,2.368441754843893,0.028354377230841287,0.16651911603334027,0.2152944796957062,0.21964562227065268,-0.04877536366236593,-0.05312650623731241,-0.004351142574946482,0.002410292672359588,0.032844358324218295,0.03043406565185871,0.0,0.02014754911509309,0.02014754911509309,0.7814713650050376,0.4119243168102502,12.0,5.7745644627971116,1.0653231569550239,0.4041313522860164,0.92505550288769,1,1.3127864665843472,2.11904877188447,0.8062623053001228,0.16651911603334027,0.0,1
44001,9,beneficial,3,1,1,2,0.7198273809523811,0.0038947207234984677,1.367219509029876,0.024383854506640486,0.16717879052566167,0.17740516657914507,0.17292072592469704,-0.010226376053483394,-0.005741935399035364,0.00448444065444803,6.679023055893917e-06,0.004962859375812056,0.004956180352756162,0.0,0.0,0.0,0.795010076237968,0.2863762779468019,14.0,7.879384310189478,1.342029532679311,0.01672374662134616,0.9194333846081063,1,0.9279836270480246,1.6638316937307622,0.7358480666827376,0.16717879052566167,0.0,0
44001,12,beneficial,3,1,1,2,0.8847564484126981,0.01097084814809621,2.1155726421764194,0.028644689124964248,0.16332981027605367,0.21056950884836148,0.20982263205267043,-0.04723969857230781,-0.04649282177661676,0.0007468767956910483,0.0012290465653299462,0.027838740143172336,0.02660969357784239,0.0,0.0,0.0,0.7781694904723839,0.41139920653000284,10.0,4.912692563952169,1.0907345477350994,0.0867064058143898,0.9243235030267924,1,1.323226204874754,1.9651967389789662,0.6419705341042121,0.16332981027605367,0.0,0
44001,16,beneficial,3,2,2,1,0.7379464285714289,0.0,2.0629378938387033,0.04925168218298187,0.11594303186202161,0.10883105354054574,0.11211644029730448,0.007111978321475865,0.0038265915647171245,-0.0032853867567587403,0.0,0.023884827843391094,0.023884827843391094,0.0,0.0,0.0,0.6753414174622233,0.516797431983437,32.0,8.148622816496854,0.7423967050897616,0.03732684545589215,0.9243381068176053,2,1.3950596292402835,1.8676735752955387,0.4726139460552552,0.10883105354054574,0.0,0
44001,25,beneficial,3,2,2,1,0.9540922619047619,0.0,1.1960480866015615,0.02959117426674018,0.16619797017770643,0.15169474586260248,0.15361607353477913,0.014503224315103952,0.012581896642927304,-0.0019213276721766481,0.0,0.0009426869823052366,0.0009426869823052366,0.0,0.0,0.0,0.7720450451051927,0.29831805016744556,23.0,8.861221010077193,1.1352981109622844,0.21967958517753605,0.9228339308318991,2,1.0120859363538597,1.1217228861287345,0.10963694977487481,0.15169474586260248,0.0,0
44001,27,beneficial,3,2,2,1,0.7083630952380955,2.5837936189317353e-05,2.1193141494226415,0.045084314954711914,0.1094614529948245,0.07042104921747588,0.07222489275126075,0.03904040377734862,0.037236560243563754,-0.001803843533784863,0.0001116828069560547,0.006128306233417921,0.006016623426461866,0.0,0.0,0.0,0.596495403495067,0.4332689504006412,53.0,8.861221010077193,0.6360654692585265,0.12502268252673449,0.9156246840625821,2,1.4501658304713794,1.7672920190711903,0.3171261885998109,0.07042104921747588,0.0,0
44001,33,beneficial,3,2,2,1,0.877982142857143,0.00018657611811991515,2.020821297804011,0.03972549871702764,0.11080867041193757,0.08140884654543445,0.08389149943939526,0.02939982386650311,0.0269171709725423,-0.00248265289396081,0.0004640251268082305,0.007323867779429052,0.006859842652620822,0.0,0.0,0.0,0.549142003200566,0.609156520239056,51.0,6.49123797439421,0.577196721479508,0.012505419375037876,0.9243460247518722,2,1.5940642903995035,1.9188293837264367,0.32476509332693326,0.08140884654543445,0.0,0
44001,45,beneficial,3,1,1,2,0.920607638888889,0.008235201192427028,1.8799656610385973,0.03064666564866979,0.16080238634790378,0.1983022779626494,0.19838259521336868,-0.03749989161474562,-0.0375802088654649,-8.031725071927509e-05,0.000138924737786667,0.007579678695814649,0.007440753958027982,0.0,0.0,0.0,0.7601689342717441,0.36157765548997906,10.0,5.622785264913806,1.0968505567749078,0.0738432048619085,0.9187538953088877,1,0.9438517818571384,1.7872702744253188,0.8434184925681805,0.16080238634790378,0.0,0
44001,47,beneficial,3,1,1,2,0.689447916666667,0.017272461732333072,1.585594438710379,0.043329912769747576,0.06904381451729207,0.07119814191048238,0.07186475825307001,-0.002154327393190311,-0.002820943735777945,-0.0006666163425876337,0.0,0.0072100335781523864,0.0072100335781523864,0.0,0.0,0.0,0.6657571552365391,0.35382930072489127,40.0,5.622785264913806,0.7797343993379826,0.2288110763443333,0.9176689192949017,1,1.236335190785907,2.2585373654295564,1.0222021746436494,0.06904381451729207,0.0,0
44001,70,beneficial,3,2,2,1,0.6663690476190477,0.00013429718043592344,1.8785479970475922,0.030616189947544798,0.07497971282914279,0.074761223166123,0.07911185311153203,0.00021848966301978023,-0.004132140282389243,-0.004350629945409024,0.0008561054252846172,0.0016553514992107203,0.0007992460739261031,0.0,0.0,0.0,0.6411498106112435,0.5829485399619073,38.0,6.361122938861032,0.6915540784807667,0.22184808434997733,0.9254053836149294,2,1.633769103467871,1.9368161303884517,0.3030470269205807,0.074761223166123,0.0,0
