beta,test_index,best_persistence,predicted_under_risk,selected_lambda,selected_action,selected_regret,predicted_regret,regularization_cost
0.0,71,2,0.0203037311797933,0.0,2,0.0,0.0,0.0
0.0,72,2,0.031056467919537645,1.0,3,0.0,0.00013731056051636647,0.0
0.0,73,1,0.012339921780130157,0.1,1,0.0,0.0,0.0
0.0,74,1,0.01009082743405334,0.1,1,0.0,0.0,0.0
0.001,0,1,0.02280515121673653,0.0,2,0.0,0.00010699654136893345,0.0
0.001,1,1,0.011179931936987006,0.25,2,0.0,0.0003193205217879835,0.00025
0.001,2,1,0.011272623240007376,0.0,2,0.0,0.0,0.0
0.001,3,1,0.024593994812742055,0.25,3,0.0,0.0002589306514709241,0.00025
0.001,4,1,0.02638256442498864,1.0,1,0.0,0.0008068011040991233,0.001
0.001,5,2,0.027565087328314322,1.0,3,0.0,2.8437098331791866e-05,0.001
0.001,6,2,0.03441937398111071,1.0,3,0.0,0.00047693076345033835,0.001
0.001,7,2,0.03425887702294003,0.25,3,0.0,0.0002460147562673342,0.00025
0.001,8,1,0.0460522615338116,1.0,3,0.0,0.00045775603428947287,0.001
0.001,9,1,0.042567450027431425,0.1,3,0.0,0.00032716220608554125,0.0001
0.001,10,1,0.030993522774128465,0.1,3,0.0,0.0,0.0001
0.001,11,1,0.037248184346602375,0.25,3,0.0,0.0,0.00025
0.001,12,1,0.03664991528924929,0.25,3,0.0,0.0,0.00025
0.001,13,1,0.018872985450852996,0.1,1,0.0,0.0,0.0001
0.001,14,1,0.02476059077747911,0.0,2,0.0,5.3498270684466725e-05,0.0
0.001,15,1,0.03670569933458623,1.0,3,0.0,0.00047693076345033835,0.001
0.001,16,1,0.03144023959720714,1.0,3,0.0,0.0004691308736221897,0.001
0.001,17,1,0.04538115275370475,1.0,3,0.0,0.00045775603428947287,0.001
0.001,18,2,0.027912106784189476,1.0,3,0.0,0.0,0.001
0.001,19,2,0.01849410688953061,0.1,1,0.09518820021482474,0.0,0.0001
0.001,20,2,0.040866210078494974,0.25,3,0.0,0.00020738740514029353,0.00025
0.001,21,2,0.04299907391748921,1.0,3,0.0,0.00045775603428947287,0.001
0.001,22,2,0.03670897179644808,1.0,3,0.0,0.00045775603428947287,0.001
0.001,23,2,0.029217456164213465,0.25,3,0.0,0.0003193205217879835,0.00025
0.001,24,1,0.04592788430002088,0.25,3,0.0,0.0003407438508486074,0.00025
0.001,25,1,0.022694503764401536,0.1,2,0.0,0.0,0.0001
0.001,26,1,0.023856148773027813,0.0,2,0.0,3.882205948953818e-05,0.0
0.001,27,1,0.035066168873382424,0.25,3,0.0,0.0,0.00025
0.001,28,1,0.04750235102302107,1.0,3,0.0,0.0,0.001
0.001,29,1,0.023237868677336185,0.0,2,0.0,0.0,0.0
0.001,30,1,0.023780873381575078,1.0,3,0.0,0.0,0.001
0.001,31,1,0.019701317976916273,0.0,2,0.0,0.0,0.0
0.001,32,3,0.041186146798371175,0.25,3,0.0,0.00010946279645300112,0.00025
0.001,33,3,0.0332631374973132,1.0,3,0.0,9.749862285185782e-06,0.001
0.001,34,2,0.042777572975419474,1.0,3,0.0,2.2749678665433488e-05,0.001
0.001,35,2,0.03567679074560212,0.1,3,0.0,0.0,0.0001
0.001,36,2,0.0361148293602659,1.0,3,0.0,0.0,0.001
0.001,37,2,0.03646748878062584,0.25,3,0.0,0.0,0.00025
0.001,38,2,0.02468004002788759,0.0,3,0.0,0.0,0.0
0.001,39,2,0.03118213995305355,0.1,2,0.0,4.662915304902232e-05,0.0001
0.001,40,2,0.034663160168209146,0.25,3,0.0,0.0,0.00025
0.001,41,3,0.020797499966750708,1.0,1,0.007375586548430901,0.0007902263382143077,0.001
0.001,42,3,0.026822066442761982,1.0,1,0.03091974117703608,0.0003917819661597157,0.001
0.001,43,2,0.03951930612254934,1.0,3,0.006871910725323005,2.1124701617902526e-05,0.001
0.001,44,1,0.024436690988507717,1.0,3,0.006622848127195047,0.0008381631611164708,0.001
0.001,45,1,0.021222086183046187,1.0,3,0.0,0.0,0.001
0.001,46,1,0.01365850721967068,1.0,3,0.0,0.00047693076345033835,0.001
0.001,47,1,0.01259623508265569,0.0,2,0.0,0.0,0.0
0.001,48,1,0.009318752027240971,1.0,3,0.0,0.0,0.001
0.001,49,1,0.028818895238164565,1.0,3,0.0,0.0,0.001
0.001,50,1,0.023520217346594405,1.0,3,0.0,0.0,0.001
0.001,51,1,0.02958356952205886,1.0,3,0.0,0.0,0.001
0.001,52,1,0.03759264192945932,1.0,3,0.0,3.2499540950619273e-06,0.001
0.001,53,1,0.024715343027548062,0.25,1,0.0,0.0002589306514709241,0.00025
0.001,54,1,0.024536543970978028,0.0,2,0.0,0.0,0.0
0.001,55,1,0.04103390877169623,0.25,3,0.0,0.0,0.00025
0.001,56,3,0.03274480707504506,1.0,3,0.0,0.0012531822990558762,0.001
0.001,57,3,0.03312817728570933,1.0,3,0.0,0.00118460826765007,0.001
0.001,58,2,0.03188031448587982,1.0,3,0.0,0.00047693076345033835,0.001
0.001,59,1,0.02450722746566402,0.1,2,0.0,5.3498270684466725e-05,0.0001
0.001,60,1,0.025880579595396618,1.0,3,0.0,0.0,0.001
0.001,61,1,0.013577055933409007,0.25,3,0.0,0.0,0.00025
0.001,62,3,0.05077392905885838,1.0,3,0.0,0.0004788807359073754,0.001
0.001,63,3,0.03441037613827375,1.0,3,0.0,0.00047238082771725156,0.001
0.001,64,2,0.028331236741233785,0.25,3,0.0,0.0005646828941241644,0.00025
0.001,65,2,0.02666612018666824,0.0,2,0.0,0.0,0.0
0.001,66,2,0.024864527996219323,0.25,1,0.03138122831986774,0.0,0.00025
0.001,67,3,0.03559728941070486,1.0,3,0.0,0.00045775603428947287,0.001
0.001,68,3,0.02766769465236672,1.0,1,0.057717810433482175,0.0010411227943530866,0.001
0.001,69,2,0.03267914010910429,1.0,3,0.0,0.0005966915718533704,0.001
0.001,70,2,0.02537222256577211,1.0,3,0.0,0.0,0.001
0.001,71,2,0.0203037311797933,0.0,2,0.0,0.0,0.0
0.001,72,2,0.031056467919537645,1.0,3,0.0,0.00013731056051636647,0.001
0.001,73,1,0.012339921780130157,0.1,1,0.0,0.0,0.0001
0.001,74,1,0.01009082743405334,0.0,1,0.0,7.831396032117225e-05,0.0
0.0025,0,1,0.02280515121673653,0.0,2,0.0,0.00010699654136893345,0.0
0.0025,1,1,0.011179931936987006,0.25,2,0.0,0.0003193205217879835,0.000625
0.0025,2,1,0.011272623240007376,0.0,2,0.0,0.0,0.0
0.0025,3,1,0.024593994812742055,0.25,3,0.0,0.0002589306514709241,0.000625
0.0025,4,1,0.02638256442498864,1.0,1,0.0,0.0008068011040991233,0.0025
0.0025,5,2,0.027565087328314322,1.0,3,0.0,2.8437098331791866e-05,0.0025
0.0025,6,2,0.03441937398111071,0.25,3,0.0,0.0018851828044434264,0.000625
0.0025,7,2,0.03425887702294003,0.25,3,0.0,0.0002460147562673342,0.000625
0.0025,8,1,0.0460522615338116,1.0,3,0.0,0.00045775603428947287,0.0025
0.0025,9,1,0.042567450027431425,0.1,3,0.0,0.00032716220608554125,0.00025
0.0025,10,1,0.030993522774128465,0.0,3,0.0,0.00016049481205340018,0.0
0.0025,11,1,0.037248184346602375,0.25,3,0.0,0.0,0.000625
0.0025,12,1,0.03664991528924929,0.1,2,0.0,0.0002933409521360185,0.00025
0.0025,13,1,0.018872985450852996,0.1,1,0.0,0.0,0.00025
0.0025,14,1,0.02476059077747911,0.0,2,0.0,5.3498270684466725e-05,0.0
0.0025,15,1,0.03670569933458623,0.25,3,0.0,0.0013066388518604046,0.000625
0.0025,16,1,0.03144023959720714,1.0,3,0.0,0.0004691308736221897,0.0025
0.0025,17,1,0.04538115275370475,0.1,3,0.0,0.0023077533651864454,0.00025
0.0025,18,2,0.027912106784189476,1.0,3,0.0,0.0,0.0025
0.0025,19,2,0.01849410688953061,0.1,1,0.09518820021482474,0.0,0.00025
0.0025,20,2,0.040866210078494974,0.1,3,0.0,0.0004955547441919907,0.00025
0.0025,21,2,0.04299907391748921,0.1,3,0.0,0.0020066474409262377,0.00025
0.0025,22,2,0.03670897179644808,0.1,3,0.0,0.00205566089390275,0.00025
0.0025,23,2,0.029217456164213465,0.25,3,0.0,0.0003193205217879835,0.000625
0.0025,24,1,0.04592788430002088,0.1,2,0.0,0.0005656328253586306,0.00025
0.0025,25,1,0.022694503764401536,0.0,2,0.0,0.00010699654136893345,0.0
0.0025,26,1,0.023856148773027813,0.0,2,0.0,3.882205948953818e-05,0.0
0.0025,27,1,0.035066168873382424,0.25,3,0.0,0.0,0.000625
0.0025,28,1,0.04750235102302107,1.0,3,0.0,0.0,0.0025
0.0025,29,1,0.023237868677336185,0.0,2,0.0,0.0,0.0
0.0025,30,1,0.023780873381575078,1.0,3,0.0,0.0,0.0025
0.0025,31,1,0.019701317976916273,0.0,2,0.0,0.0,0.0
0.0025,32,3,0.041186146798371175,0.25,3,0.0,0.00010946279645300112,0.000625
0.0025,33,3,0.0332631374973132,1.0,3,0.0,9.749862285185782e-06,0.0025
0.0025,34,2,0.042777572975419474,1.0,3,0.0,2.2749678665433488e-05,0.0025
0.0025,35,2,0.03567679074560212,0.1,3,0.0,0.0,0.00025
0.0025,36,2,0.0361148293602659,0.1,3,0.0,0.002240008794722068,0.00025
0.0025,37,2,0.03646748878062584,0.25,3,0.0,0.0,0.000625
0.0025,38,2,0.02468004002788759,0.0,3,0.0,0.0,0.0
0.0025,39,2,0.03118213995305355,0.1,2,0.0,4.662915304902232e-05,0.00025
0.0025,40,2,0.034663160168209146,0.25,3,0.0,0.0,0.000625
0.0025,41,3,0.020797499966750708,1.0,1,0.007375586548430901,0.0007902263382143077,0.0025
0.0025,42,3,0.026822066442761982,1.0,1,0.03091974117703608,0.0003917819661597157,0.0025
0.0025,43,2,0.03951930612254934,1.0,3,0.006871910725323005,2.1124701617902526e-05,0.0025
0.0025,44,1,0.024436690988507717,1.0,3,0.006622848127195047,0.0008381631611164708,0.0025
0.0025,45,1,0.021222086183046187,1.0,3,0.0,0.0,0.0025
0.0025,46,1,0.01365850721967068,1.0,3,0.0,0.00047693076345033835,0.0025
0.0025,47,1,0.01259623508265569,0.0,2,0.0,0.0,0.0
0.0025,48,1,0.009318752027240971,0.25,1,0.0,0.0011144367578716334,0.000625
0.0025,49,1,0.028818895238164565,1.0,3,0.0,0.0,0.0025
0.0025,50,1,0.023520217346594405,0.1,3,0.0,0.0013517400697712154,0.00025
0.0025,51,1,0.02958356952205886,0.25,1,0.0,0.0018255313418692237,0.000625
0.0025,52,1,0.03759264192945932,1.0,3,0.0,3.2499540950619273e-06,0.0025
0.0025,53,1,0.024715343027548062,0.25,1,0.0,0.0002589306514709241,0.000625
0.0025,54,1,0.024536543970978028,0.0,2,0.0,0.0,0.0
0.0025,55,1,0.04103390877169623,0.1,3,0.0,0.0002655579077168058,0.00025
0.0025,56,3,0.03274480707504506,1.0,3,0.0,0.0012531822990558762,0.0025
0.0025,57,3,0.03312817728570933,1.0,3,0.0,0.00118460826765007,0.0025
0.0025,58,2,0.03188031448587982,1.0,3,0.0,0.00047693076345033835,0.0025
0.0025,59,1,0.02450722746566402,0.1,2,0.0,5.3498270684466725e-05,0.00025
0.0025,60,1,0.025880579595396618,1.0,3,0.0,0.0,0.0025
0.0025,61,1,0.013577055933409007,0.0,2,0.0,0.0005158609861461599,0.0
0.0025,62,3,0.05077392905885838,1.0,3,0.0,0.0004788807359073754,0.0025
0.0025,63,3,0.03441037613827375,1.0,3,0.0,0.00047238082771725156,0.0025
0.0025,64,2,0.028331236741233785,0.25,3,0.0,0.0005646828941241644,0.000625
0.0025,65,2,0.02666612018666824,0.0,2,0.0,0.0,0.0
0.0025,66,2,0.024864527996219323,0.25,1,0.03138122831986774,0.0,0.000625
0.0025,67,3,0.03559728941070486,1.0,3,0.0,0.00045775603428947287,0.0025
0.0025,68,3,0.02766769465236672,1.0,1,0.057717810433482175,0.0010411227943530866,0.0025
0.0025,69,2,0.03267914010910429,1.0,3,0.0,0.0005966915718533704,0.0025
0.0025,70,2,0.02537222256577211,1.0,3,0.0,0.0,0.0025
0.0025,71,2,0.0203037311797933,0.0,2,0.0,0.0,0.0
0.0025,72,2,0.031056467919537645,1.0,3,0.0,0.00013731056051636647,0.0025
0.0025,73,1,0.012339921780130157,0.0,1,0.0,0.000148356024096776,0.0
0.0025,74,1,0.01009082743405334,0.0,1,0.0,7.831396032117225e-05,0.0
0.005,0,1,0.02280515121673653,0.0,2,0.0,0.00010699654136893345,0.0
0.005,1,1,0.011179931936987006,0.25,2,0.0,0.0003193205217879835,0.00125
0.005,2,1,0.011272623240007376,0.0,2,0.0,0.0,0.0
0.005,3,1,0.024593994812742055,0.25,3,0.0,0.0002589306514709241,0.00125
0.005,4,1,0.02638256442498864,1.0,1,0.0,0.0008068011040991233,0.005
0.005,5,2,0.027565087328314322,1.0,3,0.0,2.8437098331791866e-05,0.005
0.005,6,2,0.03441937398111071,0.25,3,0.0,0.0018851828044434264,0.00125
0.005,7,2,0.03425887702294003,0.25,3,0.0,0.0002460147562673342,0.00125
0.005,8,1,0.0460522615338116,0.25,1,0.0,0.002492508941845555,0.00125
0.005,9,1,0.042567450027431425,0.1,3,0.0,0.00032716220608554125,0.0005
0.005,10,1,0.030993522774128465,0.0,3,0.0,0.00016049481205340018,0.0
0.005,11,1,0.037248184346602375,0.25,3,0.0,0.0,0.00125
0.005,12,1,0.03664991528924929,0.1,2,0.0,0.0002933409521360185,0.0005
0.005,13,1,0.018872985450852996,0.0,1,0.0,0.0004879447551249397,0.0
0.005,14,1,0.02476059077747911,0.0,2,0.0,5.3498270684466725e-05,0.0
0.005,15,1,0.03670569933458623,0.25,3,0.0,0.0013066388518604046,0.00125
0.005,16,1,0.03144023959720714,1.0,3,0.0,0.0004691308736221897,0.005
0.005,17,1,0.04538115275370475,0.1,3,0.0,0.0023077533651864454,0.0005
0.005,18,2,0.027912106784189476,1.0,3,0.0,0.0,0.005
0.005,19,2,0.01849410688953061,0.1,1,0.09518820021482474,0.0,0.0005
0.005,20,2,0.040866210078494974,0.0,3,0.0,0.0007640603981340285,0.0
0.005,21,2,0.04299907391748921,0.1,3,0.0,0.0020066474409262377,0.0005
0.005,22,2,0.03670897179644808,0.1,3,0.0,0.00205566089390275,0.0005
0.005,23,2,0.029217456164213465,0.25,3,0.0,0.0003193205217879835,0.00125
0.005,24,1,0.04592788430002088,0.1,2,0.0,0.0005656328253586306,0.0005
