policy,multiplier,mean_regret,under_count,over_count,action_entropy,normalized_regret_cost,normalized_under_cost,normalized_over_cost,normalized_entropy_cost,ideal_distance,delta_multiplier,delta_regret,delta_under,delta_over,delta_entropy,regret_gain_per_over,under_gain_per_entropy_loss
two_stage_0.25,0.25,0.009293859639668974,10.3,48.525,0.8973811524787036,1.0,1.0,0.0,0.0,1.4142135623730951,,,,,,,
two_stage_0.30,0.3,0.009014837605589852,9.975,49.675,0.8786387042916963,0.7910694757449003,0.7868852459016387,0.2323232323232319,0.19122936643215183,1.1556478964356534,0.04999999999999999,-0.00027902203407912177,-0.32500000000000107,1.1499999999999986,-0.01874244818700732,0.00024262785572097575,17.340317377817176
two_stage_0.35,0.35,0.00880391872899983,9.675,50.725,0.8577478691265985,0.6331343090592692,0.5901639344262296,0.44444444444444475,0.4043787444109347,1.0536629232986707,0.04999999999999999,-0.00021091887659002197,-0.29999999999999893,1.0500000000000043,-0.02089083516509782,0.00020087512056192485,14.360364132363982
two_stage_0.40,0.4,0.008386643198321353,9.2,51.75,0.8415509579751458,0.32068014868727085,0.2786885245901632,0.6515151515151514,0.5696359737091483,0.964085155314463,0.050000000000000044,-0.0004172755306784768,-0.4750000000000014,1.0249999999999986,-0.01619691115145272,0.0004070980787107096,29.326579343333506
two_stage_0.45,0.45,0.008253408323354968,9.025,52.55,0.8214570616776842,0.2209144353174949,0.16393442622950816,0.8131313131313124,0.7746541772958432,1.1562652423347326,0.04999999999999999,-0.00013323487496638524,-0.17499999999999893,0.7999999999999972,-0.02009389629746161,0.00016654359370798214,8.709112329902192
two_stage_0.50,0.5,0.00795838204455012,8.775,53.475,0.799370849266947,0.0,0.0,1.0,1.0,1.4142135623730951,0.04999999999999999,-0.0002950262788048476,-0.25,0.9250000000000043,-0.02208621241073716,0.00031894732843767157,11.319278985040599
