trial,unsafe_recall,unsafe_precision,balanced_accuracy,true_positives,alert_coverage
1,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
2,0.6244509516837482,0.23734001112966055,0.6375059449902678,853,0.390228013029316
3,0.6383601756954612,0.2426265998887034,0.6456716737732788,872,0.390228013029316
4,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
5,0.6361639824304539,0.2417918753478019,0.6443823481759613,869,0.390228013029316
6,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
7,0.6390922401171303,0.24290484140233723,0.6461014489723846,873,0.390228013029316
8,0.6412884333821376,0.24373956594323873,0.6473907745697021,876,0.390228013029316
9,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
10,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
11,0.6266471449487555,0.23817473567056205,0.6387952705875852,856,0.390228013029316
12,0.636896046852123,0.24207011686143573,0.6448121233750671,870,0.390228013029316
13,0.6251830161054173,0.2376182526432944,0.6379357201893736,854,0.390228013029316
14,0.6383601756954612,0.2426265998887034,0.6456716737732788,872,0.390228013029316
15,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
16,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
17,0.6346998535871157,0.24123539232053423,0.6435227977777496,867,0.390228013029316
18,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
19,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
20,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
21,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
22,0.6346998535871157,0.24123539232053423,0.6435227977777496,867,0.390228013029316
23,0.6412884333821376,0.24373956594323873,0.6473907745697021,876,0.390228013029316
24,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
25,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
26,0.6398243045387995,0.24318308291597107,0.6465312241714904,874,0.390228013029316
27,0.6449487554904831,0.2451307735114079,0.6495396505652313,881,0.390228013029316
28,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
29,0.6420204978038068,0.24401780745687257,0.6478205497688081,877,0.390228013029316
30,0.6383601756954612,0.2426265998887034,0.6456716737732788,872,0.390228013029316
31,0.6339677891654466,0.2409571508069004,0.6430930225786438,866,0.390228013029316
32,0.6266471449487555,0.23817473567056205,0.6387952705875852,856,0.390228013029316
33,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
34,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
35,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
36,0.6281112737920937,0.2387312186978297,0.6396548209857971,858,0.390228013029316
37,0.623718887262079,0.2370617696160267,0.6370761697911619,852,0.390228013029316
38,0.6346998535871157,0.24123539232053423,0.6435227977777496,867,0.390228013029316
39,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
40,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
41,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
