record_type,model,mean_auc,min_auc,max_auc,action2_sign_stability,delta_mean_auc_vs_full,delta_min_auc_vs_full,held_out_population,features,feature_count,training_rows,training_harmful,test_rows,test_harmful,roc_auc,action2_coefficient,endpoint,value
fold,group_only__controller_probabilities,,,,,,,population_071_110,context_benefit_probability|context_release_probability,2,65,15,88,8,0.684375,,,
fold,group_plus_action__controller_probabilities,,,,,,,population_071_110,context_benefit_probability|context_release_probability|action2_indicator,3,65,15,88,8,0.8812500000000001,-0.7164905015840751,,
fold,leave_group_out__controller_probabilities,,,,,,,population_071_110,context_anchor_age|context_trigger_score|context_feature_distance|context_current_mismatch_indicator|context_current_parameter_estimate|predicted_under_risk|predicted_primary_regret|predicted_expanded_regret|predicted_regret_margin|action2_indicator,10,65,15,88,8,0.8625,-0.08029333669720375,,
fold,group_only__temporal_support_context,,,,,,,population_071_110,context_anchor_age|context_trigger_score|context_feature_distance,3,65,15,88,8,0.55078125,,,
fold,group_plus_action__temporal_support_context,,,,,,,population_071_110,context_anchor_age|context_trigger_score|context_feature_distance|action2_indicator,4,65,15,88,8,0.5945312500000001,-0.1181208132885519,,
fold,leave_group_out__temporal_support_context,,,,,,,population_071_110,context_benefit_probability|context_release_probability|context_current_mismatch_indicator|context_current_parameter_estimate|predicted_under_risk|predicted_primary_regret|predicted_expanded_regret|predicted_regret_margin|action2_indicator,9,65,15,88,8,0.9109375,-0.684852302365658,,
fold,group_only__estimated_plant_state,,,,,,,population_071_110,context_current_mismatch_indicator|context_current_parameter_estimate,2,65,15,88,8,0.63984375,,,
fold,group_plus_action__estimated_plant_state,,,,,,,population_071_110,context_current_mismatch_indicator|context_current_parameter_estimate|action2_indicator,3,65,15,88,8,0.7914062500000001,-0.4746465469230316,,
fold,leave_group_out__estimated_plant_state,,,,,,,population_071_110,context_benefit_probability|context_release_probability|context_anchor_age|context_trigger_score|context_feature_distance|predicted_under_risk|predicted_primary_regret|predicted_expanded_regret|predicted_regret_margin|action2_indicator,10,65,15,88,8,0.8765625,-0.32534381899059955,,
fold,group_only__predicted_risk_regret,,,,,,,population_071_110,predicted_under_risk|predicted_primary_regret|predicted_expanded_regret|predicted_regret_margin,4,65,15,88,8,0.9015625,,,
fold,group_plus_action__predicted_risk_regret,,,,,,,population_071_110,predicted_under_risk|predicted_primary_regret|predicted_expanded_regret|predicted_regret_margin|action2_indicator,5,65,15,88,8,0.9359375000000001,-0.4112657053289461,,
fold,leave_group_out__predicted_risk_regret,,,,,,,population_071_110,context_benefit_probability|context_release_probability|context_anchor_age|context_trigger_score|context_feature_distance|context_current_mismatch_indicator|context_current_parameter_estimate|action2_indicator,8,65,15,88,8,0.8031250000000001,-0.5276144222023678,,
ablation_conclusion,leave_group_out__predicted_risk_regret,,,,,,,,,,,,,,,,largest_mean_auc_loss,-0.059104166666666624
ablation_conclusion,leave_group_out__temporal_support_context,,,,,,,,,,,,,,,,largest_min_auc_loss,-0.07600000000000007
