population,rule,rows,unsafe_rows,unsafe_prevalence,roc_auc,source_threshold,applied_threshold,frozen_source_coverage,unsafe_recall,safe_specificity,unsafe_precision,negative_predictive_value,alert_coverage,balanced_accuracy,tp,fp,tn,fn
third_111_150,fixed_source_threshold,8211,1209,0.14724150529777127,0.7933625959167048,0.6128614151040749,0.6128614151040749,0.3901789113056719,0.7981803143093466,0.7189374464438731,0.3290146607569042,0.953770367563471,0.35720375106564367,0.7585588803766099,965,1968,5034,244
third_111_150,unlabeled_fixed_coverage,8211,1209,0.14724150529777127,0.7933625959167048,0.6128614151040749,0.3725508359185313,0.3901789113056719,0.8114143920595533,0.6825192802056556,0.3061797752808989,0.9544637507489515,0.39020825721592983,0.7469668361326045,981,2223,4779,228
fourth_151_190,fixed_source_threshold,9435,1841,0.1951245363010069,0.8292176404454358,0.6128614151040749,0.6128614151040749,0.3901789113056719,0.7419880499728408,0.7598103766131156,0.42821316614420063,0.9239391513210569,0.338102808691044,0.7508992132929782,1366,1824,5770,475
fourth_151_190,unlabeled_fixed_coverage,9435,1841,0.1951245363010069,0.8292176404454358,0.6128614151040749,0.31182534649001425,0.3901789113056719,0.8354155350353069,0.7178035291019226,0.4178212442271122,0.9473409801876955,0.3901430842607313,0.7766095320686147,1538,2143,5451,303
fifth_191_230,fixed_source_threshold,8232,1084,0.1316812439261419,0.7595432211317077,0.6128614151040749,0.6128614151040749,0.3901789113056719,0.6568265682656826,0.696558477895915,0.24713641096841374,0.9304802840590544,0.3499757045675413,0.6766925230807987,712,2169,4979,372
fifth_191_230,unlabeled_fixed_coverage,8232,1084,0.1316812439261419,0.7595432211317077,0.6128614151040749,0.2898251806828244,0.3901789113056719,0.8228782287822878,0.6754336877448237,0.2777085927770859,0.9617529880478087,0.3901846452866861,0.7491559582635557,892,2320,4828,192
sixth_231_270,fixed_source_threshold,8418,1812,0.21525302922309336,0.8129758116743158,0.6128614151040749,0.6128614151040749,0.3901789113056719,0.7477924944812362,0.7643051771117166,0.4653159340659341,0.9169996367598983,0.3459253979567593,0.7560488357964764,1355,1557,5049,457
sixth_231_270,unlabeled_fixed_coverage,8418,1812,0.21525302922309336,0.8129758116743158,0.6128614151040749,0.30185175405573456,0.3901789113056719,0.8107064017660044,0.7250983953981229,0.4471841704718417,0.9331774790570816,0.3902352102637206,0.7679023985820637,1469,1816,4790,343
