record_type,metric,beneficial_count,harmful_count,beneficial_mean,harmful_mean,difference_harmful_minus_beneficial,beneficial_median,harmful_median,beneficial_min,beneficial_max,harmful_min,harmful_max,standardized_difference,threshold,flagged_events,harmful_flagged,beneficial_flagged,harmful_recall,beneficial_preservation,harmful_precision,generation_seed,test_index,veto_class,value,percentile_among_vetoes
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44095,19,beneficial,1.860569449385721,0.1590909090909091
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44095,29,beneficial,2.0242441725274256,0.38636363636363635
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44095,33,beneficial,1.9486067380823342,0.20454545454545456
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44095,48,beneficial,1.7355372554910562,0.022727272727272728
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44096,20,beneficial,2.44938780751027,0.8863636363636364
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44096,22,harmful,2.467354505088006,0.9318181818181818
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44097,18,beneficial,2.3759265831800205,0.7954545454545454
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44097,22,harmful,2.482999544312695,0.9772727272727273
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44098,6,beneficial,1.9675338490136718,0.25
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44098,31,beneficial,2.0016642906476436,0.29545454545454547
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44099,0,beneficial,2.0152715331890843,0.3409090909090909
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44099,4,beneficial,2.300333604587956,0.75
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44100,49,beneficial,2.0258060695235165,0.4318181818181818
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44101,5,harmful,1.761078352115239,0.06818181818181818
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44103,4,harmful,1.809127544062786,0.11363636363636363
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44103,33,beneficial,2.097942972405087,0.4772727272727273
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44104,43,beneficial,2.12671370713423,0.5681818181818182
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44105,48,beneficial,2.1924201163028174,0.6590909090909091
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44108,38,harmful,2.182093175957708,0.6136363636363636
event_rank,context_support_distance,,,,,,,,,,,,,,,,,,,,44110,6,beneficial,2.4435174599101055,0.8409090909090909
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44094,32,beneficial,0.1740847705661803,0.8409090909090909
