model,held_out_seed,test_rows,test_severe,test_nonsevere,balanced_accuracy,severe_recall,severe_precision,nonsevere_specificity,roc_auc
predicted_loss_only,44001,228,46,182,0.43561872909698995,0.717391304347826,0.17647058823529413,0.15384615384615385,0.3766125179168658
predicted_loss_only,44002,228,38,190,0.5184210526315789,0.7894736842105263,0.17341040462427745,0.24736842105263157,0.4423822714681441
predicted_loss_only,44003,228,50,178,0.5198876404494381,0.86,0.2275132275132275,0.1797752808988764,0.42820224719101124
predicted_loss_only,44004,231,55,176,0.43011363636363636,0.7636363636363637,0.208955223880597,0.09659090909090909,0.38016528925619836
predicted_loss_only,44005,228,56,172,0.4368770764119601,0.8214285714285714,0.22009569377990432,0.05232558139534884,0.3820598006644518
predicted_loss_only,44006,237,60,177,0.43968926553672316,0.7833333333333333,0.22705314009661837,0.096045197740113,0.34585687382297553
predicted_loss_only,44007,237,67,170,0.4351185250219491,0.7761194029850746,0.2524271844660194,0.09411764705882353,0.34170324846356454
predicted_loss_only,44008,234,71,163,0.4244793916875486,0.7323943661971831,0.2653061224489796,0.1165644171779141,0.36999913591981337
predicted_loss_only,44009,237,60,177,0.44307909604519774,0.7166666666666667,0.22631578947368422,0.1694915254237288,0.3695856873822976
predicted_loss_only,44010,228,63,165,0.46839826839826837,0.8095238095238095,0.26153846153846155,0.12727272727272726,0.4412698412698413
predicted_loss_only,44011,228,56,172,0.4894102990033223,0.8392857142857143,0.24102564102564103,0.13953488372093023,0.4267026578073089
predicted_loss_only,44012,237,52,185,0.47021829521829517,0.8269230769230769,0.20772946859903382,0.11351351351351352,0.4229729729729729
predicted_loss_only,44013,231,48,183,0.47404371584699456,0.8333333333333334,0.19801980198019803,0.11475409836065574,0.47279143897996356
predicted_loss_only,44014,252,45,207,0.48937198067632853,0.8,0.17475728155339806,0.178743961352657,0.5043478260869565
predicted_loss_only,44015,246,32,214,0.47634345794392524,0.8125,0.12380952380952381,0.14018691588785046,0.5083235981308412
predicted_loss_only,44016,240,42,198,0.4935064935064935,0.8809523809523809,0.17289719626168223,0.10606060606060606,0.487012987012987
predicted_loss_only,44017,243,33,210,0.4461038961038961,0.696969696969697,0.11979166666666667,0.19523809523809524,0.42813852813852815
predicted_loss_only,44018,243,21,222,0.369047619047619,0.5714285714285714,0.06091370558375635,0.16666666666666666,0.3354783354783355
predicted_loss_only,44019,270,33,237,0.47410817031070196,0.7878787878787878,0.11555555555555555,0.16033755274261605,0.4425265311341261
predicted_loss_only,44020,267,31,236,0.51127665390924,0.8064516129032258,0.11904761904761904,0.21610169491525424,0.4635046473482778
predicted_loss_only,44021,264,21,243,0.393885949441505,0.6190476190476191,0.06046511627906977,0.16872427983539096,0.4332745443856555
predicted_loss_only,44022,261,22,239,0.4245910992772917,0.6818181818181818,0.07009345794392523,0.16736401673640167,0.44142259414225943
predicted_loss_only,44023,255,24,231,0.44805194805194803,0.6666666666666666,0.08247422680412371,0.22943722943722944,0.4428210678210678
predicted_loss_only,44024,252,23,229,0.4548129865198405,0.6956521739130435,0.08163265306122448,0.21397379912663755,0.46705904689576605
predicted_loss_only,44025,258,12,246,0.40447154471544716,0.5,0.03409090909090909,0.3089430894308943,0.429539295392954
predicted_loss_only,44026,249,17,232,0.4442190669371197,0.6470588235294118,0.058823529411764705,0.2413793103448276,0.4566430020283976
predicted_loss_only,44027,261,20,241,0.40985477178423235,0.55,0.058823529411764705,0.2697095435684647,0.44170124481327805
predicted_loss_only,44028,261,16,245,0.38201530612244894,0.4375,0.040697674418604654,0.32653061224489793,0.44948979591836735
predicted_loss_only,44029,270,19,251,0.4113021597819249,0.3684210526315789,0.04861111111111111,0.4541832669322709,0.4942335919479975
predicted_loss_only,44030,261,14,247,0.406737998843262,0.21428571428571427,0.029411764705882353,0.5991902834008097,0.5676691729323308
predicted_loss_only,44031,258,11,247,0.5581523739418476,0.5454545454545454,0.05357142857142857,0.5708502024291497,0.5863084284136916
predicted_loss_only,44032,261,9,252,0.5218253968253969,0.3333333333333333,0.039473684210526314,0.7103174603174603,0.7019400352733687
predicted_loss_only,44033,267,9,258,0.31589147286821706,0.0,0.0,0.6317829457364341,0.49956933677863913
predicted_loss_only,44034,273,5,268,0.35261194029850745,0.0,0.0,0.7052238805970149,0.5492537313432836
predicted_loss_only,44035,273,4,269,0.362453531598513,0.0,0.0,0.724907063197026,0.6171003717472119
predicted_loss_only,44036,276,5,271,0.4542435424354243,0.2,0.0125,0.7084870848708487,0.7077490774907749
predicted_loss_only,44037,273,6,267,0.5655430711610486,0.3333333333333333,0.03571428571428571,0.797752808988764,0.7359550561797753
predicted_loss_only,44038,261,20,241,0.5548755186721992,0.45,0.0989010989010989,0.6597510373443983,0.6319502074688796
predicted_loss_only,44039,261,20,241,0.46773858921161826,0.45,0.06766917293233082,0.4854771784232365,0.48506224066390047
predicted_loss_only,44040,267,21,246,0.5479094076655052,0.5714285714285714,0.09302325581395349,0.524390243902439,0.5708478513356561
predicted_loss_only,44041,270,18,252,0.49206349206349204,0.4444444444444444,0.06451612903225806,0.5396825396825397,0.5022045855379189
predicted_loss_only,44042,267,14,253,0.528514963297572,0.42857142857142855,0.06,0.6284584980237155,0.5426312817617166
predicted_loss_only,44043,276,8,268,0.5223880597014925,0.25,0.03508771929824561,0.7947761194029851,0.7863805970149255
predicted_loss_only,44044,279,6,273,0.6401098901098901,0.5,0.047619047619047616,0.7802197802197802,0.8101343101343101
predicted_loss_only,44045,282,9,273,0.594017094017094,0.4444444444444444,0.05405405405405406,0.7435897435897436,0.7761497761497761
predicted_loss_only,44046,288,4,284,0.6355633802816901,0.5,0.029850746268656716,0.7711267605633803,0.7887323943661972
predicted_loss_only,44047,273,3,270,0.5537037037037037,0.3333333333333333,0.016129032258064516,0.774074074074074,0.7234567901234568
predicted_loss_only,44048,273,5,268,0.5824626865671643,0.4,0.03076923076923077,0.7649253731343284,0.7768656716417911
predicted_loss_only,44049,282,6,276,0.6195652173913043,0.5,0.04,0.7391304347826086,0.7004830917874396
predicted_loss_only,44050,279,5,274,0.5886861313868613,0.4,0.031746031746031744,0.7773722627737226,0.6817518248175183
predicted_loss_only,44051,270,10,260,0.5211538461538462,0.4,0.041237113402061855,0.6423076923076924,0.6130769230769231
predicted_loss_only,44052,267,15,252,0.6726190476190477,0.6666666666666666,0.10989010989010989,0.6785714285714286,0.6677248677248677
predicted_loss_only,44053,270,13,257,0.7216402274768033,0.6923076923076923,0.1232876712328767,0.7509727626459144,0.7584555522298713
predicted_loss_only,44054,270,14,256,0.6685267857142857,0.5714285714285714,0.11764705882352941,0.765625,0.7751116071428572
predicted_loss_only,44055,270,11,259,0.5524745524745525,0.36363636363636365,0.056338028169014086,0.7413127413127413,0.6637416637416638
predicted_loss_only,44056,267,28,239,0.6238045427375971,0.6785714285714286,0.1557377049180328,0.5690376569037657,0.6238792588164974
predicted_loss_only,44057,261,32,229,0.6413755458515285,0.75,0.183206106870229,0.5327510917030568,0.6108078602620087
predicted_loss_only,44058,264,40,224,0.5674107142857143,0.675,0.18243243243243243,0.45982142857142855,0.5287946428571428
predicted_loss_only,44059,261,32,229,0.519582423580786,0.59375,0.13013698630136986,0.44541484716157204,0.5353438864628821
predicted_loss_only,44060,270,20,250,0.554,0.5,0.09259259259259259,0.608,0.5609999999999999
predicted_loss_only,44061,261,4,257,0.39299610894941633,0.0,0.0,0.7859922178988327,0.5068093385214008
predicted_loss_only,44062,261,7,254,0.6296400449943756,0.42857142857142855,0.06521739130434782,0.8307086614173228,0.8014623172103487
predicted_loss_only,44063,258,9,249,0.64190093708166,0.4444444444444444,0.09090909090909091,0.8393574297188755,0.7826863007585899
predicted_loss_only,44064,255,10,245,0.6724489795918367,0.5,0.11627906976744186,0.8448979591836735,0.7885714285714286
predicted_loss_only,44065,255,7,248,0.5581797235023042,0.2857142857142857,0.045454545454545456,0.8306451612903226,0.6906682027649769
predicted_loss_only,44066,252,8,244,0.6721311475409837,0.5,0.09523809523809523,0.8442622950819673,0.8125000000000001
predicted_loss_only,44067,255,10,245,0.7326530612244898,0.6,0.15384615384615385,0.8653061224489796,0.8489795918367348
predicted_loss_only,44068,252,11,241,0.6650320633723124,0.45454545454545453,0.14285714285714285,0.8755186721991701,0.8385514900037722
predicted_loss_only,44069,234,13,221,0.6018099547511313,0.46153846153846156,0.09523809523809523,0.7420814479638009,0.6933518969718064
predicted_loss_only,44070,240,11,229,0.5529972211194918,0.36363636363636365,0.06349206349206349,0.74235807860262,0.6883684001587932
local_mean_error_only,44001,228,46,182,0.5014333492594362,0.7391304347826086,0.20238095238095238,0.26373626373626374,0.5732799808886764
local_mean_error_only,44002,228,38,190,0.618421052631579,0.8421052631578947,0.21768707482993196,0.39473684210526316,0.6551246537396123
local_mean_error_only,44003,228,50,178,0.5985393258426966,0.86,0.2670807453416149,0.33707865168539325,0.6765168539325842
local_mean_error_only,44004,231,55,176,0.5329545454545455,0.9636363636363636,0.25118483412322273,0.10227272727272728,0.6044421487603306
local_mean_error_only,44005,228,56,172,0.5255398671096345,0.9464285714285714,0.2560386473429952,0.10465116279069768,0.6225083056478405
local_mean_error_only,44006,237,60,177,0.5124293785310735,0.8666666666666667,0.25870646766169153,0.15819209039548024,0.530367231638418
local_mean_error_only,44007,237,67,170,0.5043459174714662,0.7910447761194029,0.2849462365591398,0.21764705882352942,0.5586918349429324
local_mean_error_only,44008,234,71,163,0.5225092888620064,0.8732394366197183,0.3147208121827411,0.17177914110429449,0.6136697485526658
local_mean_error_only,44009,237,60,177,0.5310734463276836,1.0,0.26548672566371684,0.062146892655367235,0.6677495291902071
local_mean_error_only,44010,228,63,165,0.5,1.0,0.27631578947368424,0.0,0.7457912457912457
local_mean_error_only,44011,228,56,172,0.5,1.0,0.24561403508771928,0.0,0.6859946013289036
local_mean_error_only,44012,237,52,185,0.5,1.0,0.21940928270042195,0.0,0.6827442827442829
local_mean_error_only,44013,231,48,183,0.5027322404371585,1.0,0.20869565217391303,0.00546448087431694,0.7082764116575592
local_mean_error_only,44014,252,45,207,0.5314009661835749,1.0,0.18828451882845187,0.06280193236714976,0.6717659688674181
local_mean_error_only,44015,246,32,214,0.5116822429906542,1.0,0.13278008298755187,0.02336448598130841,0.7342289719626167
local_mean_error_only,44016,240,42,198,0.5234487734487734,0.9761904761904762,0.18222222222222223,0.0707070707070707,0.6556036556036555
local_mean_error_only,44017,243,33,210,0.5357142857142857,1.0,0.14473684210526316,0.07142857142857142,0.6295815295815296
local_mean_error_only,44018,243,21,222,0.5122265122265122,0.9523809523809523,0.08849557522123894,0.07207207207207207,0.5727155727155727
local_mean_error_only,44019,270,33,237,0.5379746835443038,1.0,0.13095238095238096,0.0759493670886076,0.6752333461194221
local_mean_error_only,44020,267,31,236,0.559322033898305,1.0,0.1297071129707113,0.11864406779661017,0.784513395297977
local_mean_error_only,44021,264,21,243,0.5246913580246914,1.0,0.08333333333333333,0.04938271604938271,0.6063100137174211
local_mean_error_only,44022,261,22,239,0.5251046025104602,1.0,0.08835341365461848,0.0502092050209205,0.6519589197413466
local_mean_error_only,44023,255,24,231,0.5051406926406926,0.9583333333333334,0.09504132231404959,0.05194805194805195,0.7923881673881674
local_mean_error_only,44024,252,23,229,0.508828555154737,0.9565217391304348,0.09282700421940929,0.0611353711790393,0.6695462312511866
local_mean_error_only,44025,258,12,246,0.4725609756097561,0.75,0.043478260869565216,0.1951219512195122,0.6183943089430894
local_mean_error_only,44026,249,17,232,0.540948275862069,1.0,0.07391304347826087,0.08189655172413793,0.7472109533468559
local_mean_error_only,44027,261,20,241,0.44968879668049794,0.75,0.06818181818181818,0.14937759336099585,0.5221991701244814
local_mean_error_only,44028,261,16,245,0.5714285714285714,1.0,0.07079646017699115,0.14285714285714285,0.7514030612244899
local_mean_error_only,44029,270,19,251,0.6302159781924932,0.8421052631578947,0.09876543209876543,0.41832669322709165,0.7065422520444538
local_mean_error_only,44030,261,14,247,0.6217466743782534,0.5714285714285714,0.0898876404494382,0.6720647773279352,0.6892712550607287
local_mean_error_only,44031,258,11,247,0.6370997423629002,0.5454545454545454,0.0821917808219178,0.728744939271255,0.7979389032020611
local_mean_error_only,44032,261,9,252,0.6388888888888888,0.3333333333333333,0.17647058823529413,0.9444444444444444,0.5559964726631393
local_mean_error_only,44033,267,9,258,0.5142118863049095,0.2222222222222222,0.038461538461538464,0.8062015503875969,0.532730404823428
