policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
direct_loss,0.234375,0.14067870350416353,0.005441952180962636,0.0,0.11232730350365872,0.875,0.125,3,46,15,0.5095423938192783,0.796875,0.0,600,4a1f1f097652d4f1faf4ca7429fc3e48c71254e5a5fe93610cb9d4f37cbf7404,211,147,64,1
fixed_risk_0.010,0.171875,0.13763374218613852,0.002396990862937619,0.0,0.04278241892926826,0.90625,0.09375,1,52,11,0.19938388131680532,0.953125,0.15625,600,4a1f1f097652d4f1faf4ca7429fc3e48c71254e5a5fe93610cb9d4f37cbf7404,211,147,64,1
two_stage_0.25,0.171875,0.13763374218613852,0.002396990862937619,0.0,0.04278241892926826,0.90625,0.09375,1,52,11,0.19938388131680532,0.953125,0.15625,600,4a1f1f097652d4f1faf4ca7429fc3e48c71254e5a5fe93610cb9d4f37cbf7404,211,147,64,1
two_stage_0.30,0.15625,0.13763374218613852,0.002396990862937619,0.0,0.04278241892926826,0.90625,0.09375,1,53,10,0.1462951484386621,0.96875,0.171875,600,4a1f1f097652d4f1faf4ca7429fc3e48c71254e5a5fe93610cb9d4f37cbf7404,211,147,64,0
two_stage_0.35,0.15625,0.13763374218613852,0.002396990862937619,0.0,0.04278241892926826,0.90625,0.09375,1,53,10,0.1462951484386621,0.96875,0.171875,600,4a1f1f097652d4f1faf4ca7429fc3e48c71254e5a5fe93610cb9d4f37cbf7404,211,147,64,0
two_stage_0.40,0.15625,0.13763374218613852,0.002396990862937619,0.0,0.04278241892926826,0.90625,0.09375,1,53,10,0.1462951484386621,0.96875,0.171875,600,4a1f1f097652d4f1faf4ca7429fc3e48c71254e5a5fe93610cb9d4f37cbf7404,211,147,64,0
two_stage_0.45,0.171875,0.13750320414534908,0.0022664528221481724,0.0,0.04278241892926826,0.921875,0.078125,0,53,11,0.12657859363955404,0.96875,0.1875,600,4a1f1f097652d4f1faf4ca7429fc3e48c71254e5a5fe93610cb9d4f37cbf7404,211,147,64,1
two_stage_0.50,0.171875,0.13750320414534908,0.0022664528221481724,0.0,0.04278241892926826,0.921875,0.078125,0,53,11,0.12657859363955404,0.96875,0.1875,600,4a1f1f097652d4f1faf4ca7429fc3e48c71254e5a5fe93610cb9d4f37cbf7404,211,147,64,1
fixed_k3,0.15625,0.13750320414534908,0.0022664528221481724,0.0,0.04278241892926826,0.921875,0.078125,0,54,10,0.0,1.0,0.203125,600,4a1f1f097652d4f1faf4ca7429fc3e48c71254e5a5fe93610cb9d4f37cbf7404,211,147,64,0
oracle,1.0,0.1352367513232009,0.0,0.0,0.0,1.0,0.0,0,0,64,0.7827234354696885,0.671875,0.765625,600,4a1f1f097652d4f1faf4ca7429fc3e48c71254e5a5fe93610cb9d4f37cbf7404,211,147,64,0
direct_loss,0.25396825396825395,0.12593148636978702,0.0016651939433059947,0.0,0.044429095488593306,0.9523809523809523,0.047619047619047616,0,47,16,0.39828262044331525,0.8412698412698413,0.0,601,db74b12773f22a361a64af10483b0e140d3ba6715b11f3ea4535f8ed29ee0a07,210,147,63,1
fixed_risk_0.010,0.14285714285714285,0.12593148636978702,0.0016651939433059947,0.0,0.044429095488593306,0.9523809523809523,0.047619047619047616,0,54,9,0.07419397342546546,0.9841269841269841,0.14285714285714285,601,db74b12773f22a361a64af10483b0e140d3ba6715b11f3ea4535f8ed29ee0a07,210,147,63,0
two_stage_0.25,0.14285714285714285,0.12593148636978702,0.0016651939433059947,0.0,0.044429095488593306,0.9523809523809523,0.047619047619047616,0,54,9,0.07419397342546546,0.9841269841269841,0.14285714285714285,601,db74b12773f22a361a64af10483b0e140d3ba6715b11f3ea4535f8ed29ee0a07,210,147,63,0
two_stage_0.30,0.14285714285714285,0.12593148636978702,0.0016651939433059947,0.0,0.044429095488593306,0.9523809523809523,0.047619047619047616,0,54,9,0.07419397342546546,0.9841269841269841,0.14285714285714285,601,db74b12773f22a361a64af10483b0e140d3ba6715b11f3ea4535f8ed29ee0a07,210,147,63,0
two_stage_0.35,0.14285714285714285,0.12593148636978702,0.0016651939433059947,0.0,0.044429095488593306,0.9523809523809523,0.047619047619047616,0,54,9,0.07419397342546546,0.9841269841269841,0.14285714285714285,601,db74b12773f22a361a64af10483b0e140d3ba6715b11f3ea4535f8ed29ee0a07,210,147,63,0
two_stage_0.40,0.14285714285714285,0.12593148636978702,0.0016651939433059947,0.0,0.044429095488593306,0.9523809523809523,0.047619047619047616,0,54,9,0.07419397342546546,0.9841269841269841,0.14285714285714285,601,db74b12773f22a361a64af10483b0e140d3ba6715b11f3ea4535f8ed29ee0a07,210,147,63,0
two_stage_0.45,0.14285714285714285,0.12593148636978702,0.0016651939433059947,0.0,0.044429095488593306,0.9523809523809523,0.047619047619047616,0,54,9,0.07419397342546546,0.9841269841269841,0.14285714285714285,601,db74b12773f22a361a64af10483b0e140d3ba6715b11f3ea4535f8ed29ee0a07,210,147,63,0
two_stage_0.50,0.14285714285714285,0.12593148636978702,0.0016651939433059947,0.0,0.044429095488593306,0.9523809523809523,0.047619047619047616,0,54,9,0.07419397342546546,0.9841269841269841,0.14285714285714285,601,db74b12773f22a361a64af10483b0e140d3ba6715b11f3ea4535f8ed29ee0a07,210,147,63,0
fixed_k3,0.12698412698412698,0.12593148636978702,0.0016651939433059947,0.0,0.044429095488593306,0.9523809523809523,0.047619047619047616,0,55,8,0.0,1.0,0.15873015873015872,601,db74b12773f22a361a64af10483b0e140d3ba6715b11f3ea4535f8ed29ee0a07,210,147,63,0
