policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
direct_loss,0.48148148148148145,0.13939042403482335,0.015464338540606169,0.0,0.22732342433035152,0.7530864197530864,0.2345679012345679,14,28,39,0.9882677137067537,0.37037037037037035,0.0,400,5e5c61c038f962c6393248a41733284e707cb5fc15ea53d6a89b2d9231f1d4d5,267,186,81,1
fixed_risk_0.010,0.2222222222222222,0.13627992338824993,0.012353837894032754,0.0,0.22732342433035152,0.7654320987654321,0.2222222222222222,10,53,18,0.8571721972794328,0.6049382716049383,0.37037037037037035,400,5e5c61c038f962c6393248a41733284e707cb5fc15ea53d6a89b2d9231f1d4d5,267,186,81,0
two_stage_0.25,0.30864197530864196,0.13810459389872118,0.014178508404504018,0.0,0.22732342433035152,0.7407407407407407,0.24691358024691357,12,44,25,0.9702537802276259,0.4567901234567901,0.2345679012345679,400,5e5c61c038f962c6393248a41733284e707cb5fc15ea53d6a89b2d9231f1d4d5,267,186,81,1
two_stage_0.30,0.32098765432098764,0.13557683046443836,0.011650744970221198,0.0,0.22732342433035152,0.7654320987654321,0.2222222222222222,10,45,26,0.9418685226556893,0.5061728395061729,0.2716049382716049,400,5e5c61c038f962c6393248a41733284e707cb5fc15ea53d6a89b2d9231f1d4d5,267,186,81,1
two_stage_0.35,0.2962962962962963,0.13557683046443836,0.011650744970221198,0.0,0.22732342433035152,0.7654320987654321,0.2222222222222222,10,47,24,0.924594479569095,0.5308641975308642,0.2962962962962963,400,5e5c61c038f962c6393248a41733284e707cb5fc15ea53d6a89b2d9231f1d4d5,267,186,81,0
two_stage_0.40,0.2716049382716049,0.13568053626765822,0.011754450773441047,0.0,0.22732342433035152,0.7530864197530864,0.2345679012345679,10,49,22,0.9155771098197815,0.5432098765432098,0.32098765432098764,400,5e5c61c038f962c6393248a41733284e707cb5fc15ea53d6a89b2d9231f1d4d5,267,186,81,0
two_stage_0.45,0.2716049382716049,0.1346392657245939,0.010713180230376722,0.0,0.22732342433035152,0.7654320987654321,0.2222222222222222,9,50,22,0.9057125980138371,0.5555555555555556,0.345679012345679,400,5e5c61c038f962c6393248a41733284e707cb5fc15ea53d6a89b2d9231f1d4d5,267,186,81,1
two_stage_0.50,0.24691358024691357,0.1346392657245939,0.010713180230376722,0.0,0.22732342433035152,0.7654320987654321,0.2222222222222222,9,52,20,0.8707425794966053,0.5925925925925926,0.37037037037037035,400,5e5c61c038f962c6393248a41733284e707cb5fc15ea53d6a89b2d9231f1d4d5,267,186,81,0
fixed_k3,0.04938271604938271,0.12787197056721006,0.003945885072992876,0.0,0.06833681452028767,0.8518518518518519,0.14814814814814814,0,77,4,0.0,1.0,0.7407407407407407,400,5e5c61c038f962c6393248a41733284e707cb5fc15ea53d6a89b2d9231f1d4d5,267,186,81,0
oracle,1.0,0.12392608549421717,0.0,0.0,0.0,1.0,0.0,0,0,81,0.7728868386305101,0.5308641975308642,0.5185185185185185,400,5e5c61c038f962c6393248a41733284e707cb5fc15ea53d6a89b2d9231f1d4d5,267,186,81,0
direct_loss,0.569620253164557,0.13723040998354394,0.011971051027991364,0.0,0.11754445195639296,0.7848101265822784,0.189873417721519,13,21,45,0.9327215963716872,0.4430379746835443,0.0,401,f525af8b2e3e2e80672118dc02a492cc13b9bfefff98e132bb56f6f2c994e793,262,183,79,1
fixed_risk_0.010,0.21518987341772153,0.13200732096643691,0.006747962010884367,0.0,0.09704639609618931,0.7974683544303798,0.1518987341772152,7,55,17,0.8480838454447892,0.6075949367088608,0.5189873417721519,401,f525af8b2e3e2e80672118dc02a492cc13b9bfefff98e132bb56f6f2c994e793,262,183,79,1
two_stage_0.25,0.3924050632911392,0.1351747202412968,0.00991536128574422,0.0,0.10146836516197166,0.7721518987341772,0.17721518987341772,10,38,31,0.9930386556708475,0.3924050632911392,0.26582278481012656,401,f525af8b2e3e2e80672118dc02a492cc13b9bfefff98e132bb56f6f2c994e793,262,183,79,1
