contrast,estimate,ci_2_5,ci_97_5,probability_positive
action_identity_only,0.784517551289257,0.7722696460470114,0.7963359945722704,
action_plus_context_support,0.7933625959167048,0.7813586936876595,0.8050126497002275,
action_plus_context_support_minus_action_identity_only,0.008845044627447729,0.002040978661656223,0.015522118931398453,0.9952
action_plus_support_geometry,0.7916476185818585,0.7798829071405571,0.8030472387778135,
action_plus_support_geometry_minus_action_identity_only,0.007130067292601461,0.00039459067467188536,0.013850337927790357,0.9814
action_plus_predicted_loss,0.7562980351354182,0.740848709419901,0.7708985870514603,
action_plus_predicted_loss_minus_action_identity_only,-0.028219516153838886,-0.034049195798719005,-0.0223126902888905,0.0
action_plus_full_geometry,0.7934241404263795,0.7818449071268542,0.8046125188384081,
action_plus_full_geometry_minus_action_identity_only,0.0089065891371225,0.0021097289584519397,0.015695345758472812,0.9954
