batch_size,condition,evidence_sufficient,mean_vote_fraction,std_vote_fraction,min_vote_fraction,max_vote_fraction,global_sufficient_mean,global_insufficient_mean,global_sufficient_std,global_insufficient_std,global_standardized_separation,bootstrap_replicates
1,measurement_noise_0.90,True,0.408,0.49195532325624886,0.0,1.0,0.6356,0.49666666666666665,0.48135779014040225,0.5001556351061549,0.28304831442563044,500
1,measurement_noise_0.95,True,0.49,0.5004006410899234,0.0,1.0,0.6356,0.49666666666666665,0.48135779014040225,0.5001556351061549,0.28304831442563044,500
1,process_disturbance_2.65,False,0.49,0.5004006410899234,0.0,1.0,0.6356,0.49666666666666665,0.48135779014040225,0.5001556351061549,0.28304831442563044,500
1,process_disturbance_2.85,True,0.63,0.4832878379067045,0.0,1.0,0.6356,0.49666666666666665,0.48135779014040225,0.5001556351061549,0.28304831442563044,500
1,parameter_mismatch_0.425,False,0.47,0.4995990376259682,0.0,1.0,0.6356,0.49666666666666665,0.48135779014040225,0.5001556351061549,0.28304831442563044,500
1,parameter_mismatch_0.385,True,0.664,0.47281190996463784,0.0,1.0,0.6356,0.49666666666666665,0.48135779014040225,0.5001556351061549,0.28304831442563044,500
1,structural_change_0.87,False,0.53,0.4995990376259682,0.0,1.0,0.6356,0.49666666666666665,0.48135779014040225,0.5001556351061549,0.28304831442563044,500
1,structural_change_0.86,True,0.986,0.11760809209681665,0.0,1.0,0.6356,0.49666666666666665,0.48135779014040225,0.5001556351061549,0.28304831442563044,500
2,measurement_noise_0.90,True,0.41,0.349491471394016,0.0,1.0,0.6192,0.4653333333333333,0.3642038134988524,0.35432836175999316,0.42824007515870416,500
2,measurement_noise_0.95,True,0.511,0.3429493088736495,0.0,1.0,0.6192,0.4653333333333333,0.3642038134988524,0.35432836175999316,0.42824007515870416,500
2,process_disturbance_2.65,False,0.483,0.3556176708991152,0.0,1.0,0.6192,0.4653333333333333,0.3642038134988524,0.35432836175999316,0.42824007515870416,500
2,process_disturbance_2.85,True,0.563,0.3342970371062778,0.0,1.0,0.6192,0.4653333333333333,0.3642038134988524,0.35432836175999316,0.42824007515870416,500
2,parameter_mismatch_0.425,False,0.414,0.3504992145480466,0.0,1.0,0.6192,0.4653333333333333,0.3642038134988524,0.35432836175999316,0.42824007515870416,500
2,parameter_mismatch_0.385,True,0.622,0.3336745080984003,0.0,1.0,0.6192,0.4653333333333333,0.3642038134988524,0.35432836175999316,0.42824007515870416,500
2,structural_change_0.87,False,0.499,0.35177619729875403,0.0,1.0,0.6192,0.4653333333333333,0.3642038134988524,0.35432836175999316,0.42824007515870416,500
2,structural_change_0.86,True,0.99,0.0700701051753068,0.5,1.0,0.6192,0.4653333333333333,0.3642038134988524,0.35432836175999316,0.42824007515870416,500
5,measurement_noise_0.90,True,0.396,0.20685642160280313,0.0,1.0,0.6228,0.47853333333333337,0.2770827853692452,0.22120534221511293,0.5754423599670073,500
5,measurement_noise_0.95,True,0.4964,0.21909597461428718,0.0,1.0,0.6228,0.47853333333333337,0.2770827853692452,0.22120534221511293,0.5754423599670073,500
5,process_disturbance_2.65,False,0.468,0.22116470707441235,0.0,1.0,0.6228,0.47853333333333337,0.2770827853692452,0.22120534221511293,0.5754423599670073,500
5,process_disturbance_2.85,True,0.5872,0.2029742769767353,0.0,1.0,0.6228,0.47853333333333337,0.2770827853692452,0.22120534221511293,0.5754423599670073,500
5,parameter_mismatch_0.425,False,0.4536,0.21264400990834376,0.0,1.0,0.6228,0.47853333333333337,0.2770827853692452,0.22120534221511293,0.5754423599670073,500
5,parameter_mismatch_0.385,True,0.6424,0.2125384322195416,0.0,1.0,0.6228,0.47853333333333337,0.2770827853692452,0.22120534221511293,0.5754423599670073,500
5,structural_change_0.87,False,0.514,0.2255343243564621,0.0,1.0,0.6228,0.47853333333333337,0.2770827853692452,0.22120534221511293,0.5754423599670073,500
5,structural_change_0.86,True,0.992,0.03923108660632056,0.8,1.0,0.6228,0.47853333333333337,0.2770827853692452,0.22120534221511293,0.5754423599670073,500
10,measurement_noise_0.90,True,0.3814,0.15178972376442668,0.0,0.9,0.62368,0.4693333333333333,0.24345629173713002,0.15216764510576344,0.760291701590425,500
10,measurement_noise_0.95,True,0.5148,0.1533231096472538,0.1,1.0,0.62368,0.4693333333333333,0.24345629173713002,0.15216764510576344,0.760291701590425,500
10,process_disturbance_2.65,False,0.4594,0.15511208695339662,0.1,1.0,0.62368,0.4693333333333333,0.24345629173713002,0.15216764510576344,0.760291701590425,500
10,process_disturbance_2.85,True,0.5944,0.14102629837610903,0.2,0.9,0.62368,0.4693333333333333,0.24345629173713002,0.15216764510576344,0.760291701590425,500
10,parameter_mismatch_0.425,False,0.4488,0.1496105833599569,0.0,0.8,0.62368,0.4693333333333333,0.24345629173713002,0.15216764510576344,0.760291701590425,500
10,parameter_mismatch_0.385,True,0.6362,0.14924512794873027,0.1,1.0,0.62368,0.4693333333333333,0.24345629173713002,0.15216764510576344,0.760291701590425,500
10,structural_change_0.87,False,0.4998,0.14718453238416832,0.1,0.9,0.62368,0.4693333333333333,0.24345629173713002,0.15216764510576344,0.760291701590425,500
10,structural_change_0.86,True,0.9916,0.02776656197529423,0.9,1.0,0.62368,0.4693333333333333,0.24345629173713002,0.15216764510576344,0.760291701590425,500
20,measurement_noise_0.90,True,0.3846,0.100164393931293,0.1,0.75,0.62362,0.4805666666666667,0.22152364363624022,0.10078417793766342,0.8312687820348216,500
20,measurement_noise_0.95,True,0.5081,0.1046962875428279,0.25,0.8,0.62362,0.4805666666666667,0.22152364363624022,0.10078417793766342,0.8312687820348216,500
20,process_disturbance_2.65,False,0.4638,0.09416631345220199,0.2,0.75,0.62362,0.4805666666666667,0.22152364363624022,0.10078417793766342,0.8312687820348216,500
20,process_disturbance_2.85,True,0.5972,0.09859819068529009,0.3,0.85,0.62362,0.4805666666666667,0.22152364363624022,0.10078417793766342,0.8312687820348216,500
20,parameter_mismatch_0.425,False,0.4652,0.09621577287482443,0.2,0.75,0.62362,0.4805666666666667,0.22152364363624022,0.10078417793766342,0.8312687820348216,500
20,parameter_mismatch_0.385,True,0.6394,0.09703851269414522,0.35,0.9,0.62362,0.4805666666666667,0.22152364363624022,0.10078417793766342,0.8312687820348216,500
20,structural_change_0.87,False,0.5127,0.10409313503552022,0.1,0.8,0.62362,0.4805666666666667,0.22152364363624022,0.10078417793766342,0.8312687820348216,500
20,structural_change_0.86,True,0.9888,0.020866980177386658,0.95,1.0,0.62362,0.4805666666666667,0.22152364363624022,0.10078417793766342,0.8312687820348216,500
50,measurement_noise_0.90,True,0.38928,0.0486478656228546,0.26,0.54,0.62468,0.4800666666666667,0.20697254081897246,0.05466126713654015,0.9553660213959437,500
50,measurement_noise_0.95,True,0.5082,0.05403887860421979,0.34,0.66,0.62468,0.4800666666666667,0.20697254081897246,0.05466126713654015,0.9553660213959437,500
50,process_disturbance_2.65,False,0.4686,0.04946649237347915,0.32,0.62,0.62468,0.4800666666666667,0.20697254081897246,0.05466126713654015,0.9553660213959437,500
50,process_disturbance_2.85,True,0.59772,0.04753230733386463,0.48,0.72,0.62468,0.4800666666666667,0.20697254081897246,0.05466126713654015,0.9553660213959437,500
50,parameter_mismatch_0.425,False,0.46072,0.0509890317884685,0.32,0.6,0.62468,0.4800666666666667,0.20697254081897246,0.05466126713654015,0.9553660213959437,500
50,parameter_mismatch_0.385,True,0.63748,0.05119072749202071,0.5,0.78,0.62468,0.4800666666666667,0.20697254081897246,0.05466126713654015,0.9553660213959437,500
50,structural_change_0.87,False,0.51088,0.04970479587994436,0.36,0.66,0.62468,0.4800666666666667,0.20697254081897246,0.05466126713654015,0.9553660213959437,500
50,structural_change_0.86,True,0.99072,0.009984035352694213,0.98,1.0,0.62468,0.4800666666666667,0.20697254081897246,0.05466126713654015,0.9553660213959437,500
