model,features,feature_count,rows,unsafe_rows,safe_rows,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,safe_mean,unsafe_mean,standardized_difference_unsafe_minus_safe
action_support_only,action_support_distance,1,8763,1328,7435,0.5578823194594114,0.3832831325301205,0.20376301040832667,0.7324815063887021,0.5602324563891072,0.5676690002660295,0.5654951659042903,,,
context_plus_action_support,context_support_distance|action_support_distance,2,8763,1328,7435,0.5479788184344642,0.4194277108433735,0.18804861580013504,0.6765299260255548,0.5584071997472068,0.556944183429289,0.5674226778660005,,,
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,3,8763,1328,7435,0.5453698114583417,0.4171686746987952,0.18584367661858436,0.6735709482178883,0.5594745829315919,0.5555452355211468,0.5658389868433302,,,
context_support_only,context_support_distance,1,8763,1328,7435,0.5329290598844605,0.30271084337349397,0.18585298196948682,0.763147276395427,0.541757683052317,0.5442432638500204,0.5417746931019888,,,
context_plus_loss,context_support_distance|predicted_action_loss,2,8763,1328,7435,0.5250814792458334,0.3546686746987952,0.17221206581352833,0.6954942837928716,0.5431596932450717,0.540095917704903,0.5473746446301743,,,
predicted_loss_only,predicted_action_loss,1,8763,1328,7435,0.5242219213099878,0.4555722891566265,0.1665748898678414,0.5928715534633491,0.5221906118083632,0.53203746127213,0.5381357474988313,,,
diagnostic_context_support_distance,context_support_distance,1,8763,1328,7435,,,,,,,,2.0891055644413905,2.436022735779871,0.2390784016871686
diagnostic_action_support_distance,action_support_distance,1,8763,1328,7435,,,,,,,,2.6501668808009446,3.0555861140521214,0.27389209476221943
diagnostic_action_support_minus_context,action_support_minus_context,1,8763,1328,7435,,,,,,,,0.5610613163595545,0.6195633782722504,0.14646046550354777
diagnostic_predicted_action_loss,predicted_action_loss,1,8763,1328,7435,,,,,,,,0.19193226168159291,0.19758315847764182,0.05957053750940934
diagnostic_predicted_relative_loss,predicted_relative_loss,1,8763,1328,7435,,,,,,,,0.020415995444869703,0.01770069972680002,-0.07416150661853552
