condition,true_class,sequence_replicate,evidence_budget,policy,selected_action,reference_action,action_matches_reference,parameter_learning_scale,process_uncertainty_scale,allow_commitment,allow_structural_intervention,estimated_p_pass,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,reference_p_pass,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,post_event_state_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,mean_post_event_nis,recovered,recovery_time
measurement_noise_0.850,measurement_noise,2,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.4,0.2,0.6,0.0,0.2,0.22,0.8,0.06,0.47246174837665866,0.011530278285820606,0.014165134396927792,0.8562376803457069,1.0107849407377596,True,0
measurement_noise_0.850,measurement_noise,2,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.4,0.2,0.6,0.0,0.2,0.22,0.8,0.06,0.47425878785093445,0.011471952236272339,0.013752342494478875,0.8538840854944574,0.9982760621890238,True,0
measurement_noise_0.850,measurement_noise,2,5,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.4,0.2,0.6,0.0,0.2,0.22,0.8,0.06,0.47425878785093445,0.011471952236272339,0.013752342494478875,0.8538840854944574,0.9982760621890238,True,0
measurement_noise_0.850,measurement_noise,2,10,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.3,0.3,0.7,0.1,0.2,0.22,0.8,0.06,0.47246174837665866,0.011530278285820606,0.014165134396927792,0.8562376803457069,1.0107849407377596,True,0
measurement_noise_0.850,measurement_noise,2,10,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.3,0.3,0.7,0.1,0.2,0.22,0.8,0.06,0.47425878785093445,0.011471952236272339,0.013752342494478875,0.8538840854944574,0.9982760621890238,True,0
measurement_noise_0.850,measurement_noise,2,10,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.3,0.3,0.7,0.1,0.2,0.22,0.8,0.06,0.47425878785093445,0.011471952236272339,0.013752342494478875,0.8538840854944574,0.9982760621890238,True,0
measurement_noise_0.850,measurement_noise,2,20,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.25,0.2,0.75,0.1,0.2,0.22,0.8,0.06,0.47246174837665866,0.011530278285820606,0.014165134396927792,0.8562376803457069,1.0107849407377596,True,0
measurement_noise_0.850,measurement_noise,2,20,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.25,0.2,0.75,0.1,0.2,0.22,0.8,0.06,0.47425878785093445,0.011471952236272339,0.013752342494478875,0.8538840854944574,0.9982760621890238,True,0
measurement_noise_0.850,measurement_noise,2,20,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.25,0.2,0.75,0.1,0.2,0.22,0.8,0.06,0.47425878785093445,0.011471952236272339,0.013752342494478875,0.8538840854944574,0.9982760621890238,True,0
measurement_noise_0.850,measurement_noise,3,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.4,0.6,0.6,0.2,0.2,0.22,0.8,0.06,0.329128030732544,0.00781386537119696,0.00781788929618088,0.9344040986466468,0.9369420144035888,True,0
measurement_noise_0.850,measurement_noise,3,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.4,0.6,0.6,0.2,0.2,0.22,0.8,0.06,0.33267468392638905,0.00776269426931708,0.00760199216297186,0.9325910037952739,0.930113209180939,True,0
measurement_noise_0.850,measurement_noise,3,5,inferred_failure_aware,accuracy_guard,coverage_wait,False,0.9,1.75,False,False,0.4,0.6,0.6,0.2,0.2,0.22,0.8,0.06,0.3403798952485481,0.0067059768354604185,0.00614733473665019,0.8502882163510843,0.8761511155754655,True,0
measurement_noise_0.850,measurement_noise,3,10,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.3,0.6,0.7,0.1,0.2,0.22,0.8,0.06,0.329128030732544,0.00781386537119696,0.00781788929618088,0.9344040986466468,0.9369420144035888,True,0
measurement_noise_0.850,measurement_noise,3,10,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.3,0.6,0.7,0.1,0.2,0.22,0.8,0.06,0.33267468392638905,0.00776269426931708,0.00760199216297186,0.9325910037952739,0.930113209180939,True,0
measurement_noise_0.850,measurement_noise,3,10,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.3,0.6,0.7,0.1,0.2,0.22,0.8,0.06,0.33267468392638905,0.00776269426931708,0.00760199216297186,0.9325910037952739,0.930113209180939,True,0
measurement_noise_0.850,measurement_noise,3,20,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.2,0.3,0.8,0.05,0.2,0.22,0.8,0.06,0.329128030732544,0.00781386537119696,0.00781788929618088,0.9344040986466468,0.9369420144035888,True,0
measurement_noise_0.850,measurement_noise,3,20,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.3,0.8,0.05,0.2,0.22,0.8,0.06,0.33267468392638905,0.00776269426931708,0.00760199216297186,0.9325910037952739,0.930113209180939,True,0
measurement_noise_0.850,measurement_noise,3,20,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.3,0.8,0.05,0.2,0.22,0.8,0.06,0.33267468392638905,0.00776269426931708,0.00760199216297186,0.9325910037952739,0.930113209180939,True,0
measurement_noise_0.850,measurement_noise,4,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.2,0.2,0.8,0.0,0.2,0.22,0.8,0.06,0.4707045956168469,0.010267790982213938,0.005964833175584494,0.8296115335104746,1.0482910901348466,True,0
measurement_noise_0.850,measurement_noise,4,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.2,0.8,0.0,0.2,0.22,0.8,0.06,0.4713561256915343,0.010148987496913314,0.005775082204478754,0.8282689802970704,1.0358019539530747,True,0
measurement_noise_0.850,measurement_noise,4,5,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.2,0.8,0.0,0.2,0.22,0.8,0.06,0.4713561256915343,0.010148987496913314,0.005775082204478754,0.8282689802970704,1.0358019539530747,True,0
measurement_noise_0.850,measurement_noise,4,10,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.1,0.2,0.9,0.1,0.2,0.22,0.8,0.06,0.4707045956168469,0.010267790982213938,0.005964833175584494,0.8296115335104746,1.0482910901348466,True,0
measurement_noise_0.850,measurement_noise,4,10,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.2,0.9,0.1,0.2,0.22,0.8,0.06,0.4713561256915343,0.010148987496913314,0.005775082204478754,0.8282689802970704,1.0358019539530747,True,0
measurement_noise_0.850,measurement_noise,4,10,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.2,0.9,0.1,0.2,0.22,0.8,0.06,0.4713561256915343,0.010148987496913314,0.005775082204478754,0.8282689802970704,1.0358019539530747,True,0
measurement_noise_0.850,measurement_noise,4,20,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.1,0.3,0.9,0.1,0.2,0.22,0.8,0.06,0.4707045956168469,0.010267790982213938,0.005964833175584494,0.8296115335104746,1.0482910901348466,True,0
measurement_noise_0.850,measurement_noise,4,20,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.3,0.9,0.1,0.2,0.22,0.8,0.06,0.4713561256915343,0.010148987496913314,0.005775082204478754,0.8282689802970704,1.0358019539530747,True,0
measurement_noise_0.850,measurement_noise,4,20,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.3,0.9,0.1,0.2,0.22,0.8,0.06,0.4713561256915343,0.010148987496913314,0.005775082204478754,0.8282689802970704,1.0358019539530747,True,0
