record_type,held_out_population,feature,coefficient,model,mean_coefficient,mean_absolute_coefficient,sign_stability
coefficient_summary,,context_anchor_age,,broader_state_only,-1.0852592836788106,1.0852592836788106,1
coefficient_summary,,context_benefit_probability,,broader_state_only,-0.8539148260128083,0.8539148260128083,1
coefficient_summary,,context_current_mismatch_indicator,,broader_state_only,0.43108084517989737,0.43108084517989737,1
coefficient_summary,,context_current_parameter_estimate,,broader_state_only,-0.5571891055364296,0.5571891055364296,1
coefficient_summary,,context_feature_distance,,broader_state_only,-0.5322967477232311,0.5322967477232311,1
coefficient_summary,,context_release_probability,,broader_state_only,0.310414808239162,0.3159233635205797,0.5
coefficient_summary,,context_trigger_score,,broader_state_only,-0.7156185235516802,0.7156185235516802,1
coefficient_summary,,predicted_expanded_regret,,broader_state_only,0.3895712925119666,0.3895712925119666,1
coefficient_summary,,predicted_primary_regret,,broader_state_only,0.7710431482592656,0.7710431482592656,1
coefficient_summary,,predicted_regret_margin,,broader_state_only,0.12431662651938206,0.12431662651938206,1
coefficient_summary,,predicted_under_risk,,broader_state_only,-0.17803829651713957,0.4239724619708656,0.5
coefficient_summary,,action2_indicator,,broader_state_plus_action,-1.069310024058624,1.069310024058624,1
coefficient_summary,,context_anchor_age,,broader_state_plus_action,-1.2208291692156128,1.2208291692156128,1
coefficient_summary,,context_benefit_probability,,broader_state_plus_action,-0.626411587277776,0.626411587277776,1
coefficient_summary,,context_current_mismatch_indicator,,broader_state_plus_action,0.556421605139985,0.556421605139985,1
coefficient_summary,,context_current_parameter_estimate,,broader_state_plus_action,-0.45033471346691323,0.45033471346691323,1
coefficient_summary,,context_feature_distance,,broader_state_plus_action,-0.6317164254381844,0.6317164254381844,1
coefficient_summary,,context_release_probability,,broader_state_plus_action,0.40675356307671906,0.40675356307671906,1
coefficient_summary,,context_trigger_score,,broader_state_plus_action,-0.3156765320606546,0.3156765320606546,1
coefficient_summary,,predicted_expanded_regret,,broader_state_plus_action,0.33069544188906724,0.33069544188906724,1
coefficient_summary,,predicted_primary_regret,,broader_state_plus_action,0.4415043571610051,0.4415043571610051,1
coefficient_summary,,predicted_regret_margin,,broader_state_plus_action,0.20628690468289226,0.20628690468289226,1
coefficient_summary,,predicted_under_risk,,broader_state_plus_action,0.15266065514856417,0.15266065514856417,1
