condition,true_class,seed,predicted_class,classification_margin,correct,accepted,accepted_correct,measurement_noise_score,process_disturbance_score,parameter_mismatch_score,structural_change_score
measurement_noise_0.75,measurement_noise,0,measurement_noise,0.14064542530946023,True,False,False,0.5624785979811038,0.0,0.42183317267164355,0.2307777754541872
measurement_noise_0.75,measurement_noise,1,measurement_noise,0.2933490666448578,True,False,False,0.7039928197824341,0.0634544450024992,0.155717416065542,0.4106437531375763
measurement_noise_0.75,measurement_noise,2,measurement_noise,0.20961113886161087,True,False,False,0.6155514990592273,0.04240448067636893,0.4059403601976165,0.23135713111167733
measurement_noise_0.75,measurement_noise,3,measurement_noise,0.23891928178252264,True,False,False,0.702307450438313,0.04246751423540687,0.06255095401232724,0.46338816865579036
measurement_noise_0.75,measurement_noise,4,measurement_noise,0.2511773544577086,True,False,False,0.7158605061487874,0.29451347679730294,0.46468315169107877,0.3830281496454874
measurement_noise_0.75,measurement_noise,5,measurement_noise,0.0636579480172389,True,False,False,0.9654365822498143,0.6599910967641749,0.3074857623637429,0.9017786342325754
measurement_noise_0.75,measurement_noise,6,measurement_noise,0.6323929515179753,True,True,True,1.2077519500781193,0.022271368169861916,0.575358998560144,0.2724482036801006
measurement_noise_0.75,measurement_noise,7,measurement_noise,0.1971044749747467,True,False,False,0.31832597731719114,0.0,0.0,0.12122150234244443
measurement_noise_0.75,measurement_noise,8,measurement_noise,0.13236013949051384,True,False,False,0.8561209456371905,0.2926657415707115,0.7237608061466767,0.4508599805485645
measurement_noise_0.75,measurement_noise,9,parameter_mismatch,0.16161218559316604,False,False,False,0.44134322325699105,0.2802409891886421,0.6560246138085437,0.4944124282153777
measurement_noise_0.75,measurement_noise,10,structural_change,0.20120286456389458,False,False,False,0.7519887103386588,0.759818733360319,0.4985150373646089,0.9610215979242136
measurement_noise_0.75,measurement_noise,11,measurement_noise,0.6696892269409205,True,True,True,0.9058369618952803,0.0,0.10179430775926457,0.23614773495435984
measurement_noise_0.75,measurement_noise,12,measurement_noise,0.3058941014060754,True,True,True,0.5256452770065263,0.010187605909873776,0.21975117560045088,0.21254717107957882
measurement_noise_0.75,measurement_noise,13,structural_change,0.22336808400813335,False,False,False,0.48101229226172415,0.776754690556885,0.29939169256933895,1.0001227745650183
measurement_noise_0.75,measurement_noise,14,measurement_noise,0.1403214278506727,True,False,False,0.8527883672921988,0.4485804349338568,0.47024313213817237,0.7124669394415261
measurement_noise_0.75,measurement_noise,15,measurement_noise,0.13704510845916007,True,False,False,0.7535108415854411,0.44313164542591654,0.04388058182524435,0.6164657331262811
measurement_noise_0.75,measurement_noise,16,measurement_noise,0.5403241177815596,True,True,True,1.004702528356174,0.0,0.46437841057461426,0.1794374336856896
