epsilon,contexts,multi_member_contexts,multi_member_fraction,less_conservative_available,less_conservative_fraction,strictly_below_exact_oracle,strictly_below_exact_oracle_fraction,mean_equivalence_class_size,mean_lambda_span,mean_exact_oracle_lambda,mean_responsive_lambda,exact_action_equivalence_contexts,exact_action_equivalence_fraction,exact_regret_equivalence_contexts,exact_regret_equivalence_fraction,all_action_equivalent_contexts,all_action_equivalent_fraction,all_regret_equivalent_contexts,all_regret_equivalent_fraction
0.0,75,64,0.8533333333333334,64,0.8533333333333334,0,0.0,3.3733333333333335,0.8226666666666667,0.16733333333333333,0.16733333333333333,75,1.0,75,1.0,13,0.17333333333333334,55,0.7333333333333333
0.0001,75,64,0.8533333333333334,64,0.8533333333333334,0,0.0,3.3733333333333335,0.8226666666666667,0.16733333333333333,0.16733333333333333,75,1.0,75,1.0,13,0.17333333333333334,55,0.7333333333333333
0.0005,75,64,0.8533333333333334,64,0.8533333333333334,0,0.0,3.3733333333333335,0.8226666666666667,0.16733333333333333,0.16733333333333333,75,1.0,75,1.0,13,0.17333333333333334,55,0.7333333333333333
0.001,75,64,0.8533333333333334,64,0.8533333333333334,0,0.0,3.3733333333333335,0.8226666666666667,0.16733333333333333,0.16733333333333333,75,1.0,75,1.0,13,0.17333333333333334,55,0.7333333333333333
0.0025,75,64,0.8533333333333334,64,0.8533333333333334,0,0.0,3.3733333333333335,0.8226666666666667,0.16733333333333333,0.16733333333333333,75,1.0,75,1.0,13,0.17333333333333334,55,0.7333333333333333
0.005,75,64,0.8533333333333334,64,0.8533333333333334,0,0.0,3.3733333333333335,0.8226666666666667,0.16733333333333333,0.16733333333333333,75,1.0,75,1.0,13,0.17333333333333334,55,0.7333333333333333
