policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,generation_seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
two_stage_0.10,0.27848101265822783,0.14281335341532775,0.004229630783330002,0.0,0.0714011725900762,0.8607594936708861,0.12658227848101267,7,50,22,0.7202458030091887,0.7088607594936709,0.24050632911392406,44006,e6e42a683d37d3e14984f5c00c6930cceee1807da481a5ec1e36c74e8d16d0b7,261,182,79,1
two_stage_0.25,0.22784810126582278,0.1432218307465055,0.004638108114507755,0.0,0.08456251754376853,0.8607594936708861,0.12658227848101267,6,55,18,0.5850015372905661,0.7974683544303798,0.3291139240506329,44006,e6e42a683d37d3e14984f5c00c6930cceee1807da481a5ec1e36c74e8d16d0b7,261,182,79,1
two_stage_1.00,0.22784810126582278,0.14058424646351284,0.0020005238315150874,0.0,0.08456251754376853,0.9113924050632911,0.0759493670886076,0,61,18,0.10746662808966118,0.9746835443037974,0.5063291139240507,44006,e6e42a683d37d3e14984f5c00c6930cceee1807da481a5ec1e36c74e8d16d0b7,261,182,79,1
fixed_k3,0.20253164556962025,0.14058424646351284,0.0020005238315150874,0.0,0.08456251754376853,0.9113924050632911,0.0759493670886076,0,63,16,0.0,1.0,0.5316455696202531,44006,e6e42a683d37d3e14984f5c00c6930cceee1807da481a5ec1e36c74e8d16d0b7,261,182,79,0
oracle,1.0,0.13858372263199775,0.0,0.0,0.0,1.0,0.0,0,0,79,0.961717386231397,0.4050632911392405,0.6329113924050633,44006,e6e42a683d37d3e14984f5c00c6930cceee1807da481a5ec1e36c74e8d16d0b7,261,182,79,0
direct_loss,0.379746835443038,0.14839624355004885,0.010598781629271331,0.0,0.11573825442329336,0.7721518987341772,0.17721518987341772,12,37,30,0.9531849408387515,0.4177215189873418,0.0,44007,506bc196ed9f42e940521d2d18ead26b3f2b4bc54a038aff0984a81dd80c3c29,261,182,79,1
fixed_risk_0.010,0.22784810126582278,0.14334466608103447,0.005547204160256956,0.0,0.11573825442329336,0.8227848101265823,0.12658227848101267,5,56,18,0.5303468186236437,0.8227848101265823,0.4177215189873418,44007,506bc196ed9f42e940521d2d18ead26b3f2b4bc54a038aff0984a81dd80c3c29,261,182,79,0
two_stage_0.10,0.3670886075949367,0.14551093538839618,0.0077134734676186575,0.0,0.11573825442329336,0.810126582278481,0.13924050632911392,8,42,29,0.8686833877880483,0.569620253164557,0.1518987341772152,44007,506bc196ed9f42e940521d2d18ead26b3f2b4bc54a038aff0984a81dd80c3c29,261,182,79,1
two_stage_0.25,0.2911392405063291,0.14334466608103447,0.005547204160256956,0.0,0.11573825442329336,0.8227848101265823,0.12658227848101267,5,51,23,0.670088841472712,0.7468354430379747,0.34177215189873417,44007,506bc196ed9f42e940521d2d18ead26b3f2b4bc54a038aff0984a81dd80c3c29,261,182,79,1
two_stage_1.00,0.25316455696202533,0.14101226101726935,0.0032147990964918292,0.0,0.11573825442329336,0.8860759493670886,0.0759493670886076,0,59,20,0.32751796312971937,0.9113924050632911,0.5189873417721519,44007,506bc196ed9f42e940521d2d18ead26b3f2b4bc54a038aff0984a81dd80c3c29,261,182,79,1
fixed_k3,0.17721518987341772,0.14101226101726935,0.0032147990964918292,0.0,0.11573825442329336,0.8860759493670886,0.0759493670886076,0,65,14,0.0,1.0,0.5822784810126582,44007,506bc196ed9f42e940521d2d18ead26b3f2b4bc54a038aff0984a81dd80c3c29,261,182,79,0
oracle,1.0,0.13779746192077752,0.0,0.0,0.0,1.0,0.0,0,0,79,0.9335564248343838,0.4810126582278481,0.620253164556962,44007,506bc196ed9f42e940521d2d18ead26b3f2b4bc54a038aff0984a81dd80c3c29,261,182,79,0
