model,features,feature_count,rows,unsafe_rows,safe_rows,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,safe_mean,unsafe_mean,standardized_difference_unsafe_minus_safe
action_support_only,action_support_distance,1,9546,1979,7567,0.6472163812271483,0.3840323395654371,0.5285118219749653,0.9104004228888595,0.6914962064008552,0.6530682307286575,0.7055388247222609,,,
context_plus_action_support,context_support_distance|action_support_distance,2,9546,1979,7567,0.6465790563036904,0.3916119252147549,0.5098684210526315,0.9015461873926259,0.6898727774178097,0.6525867784366275,0.7033220132266047,,,
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,3,9546,1979,7567,0.6455334868371101,0.3911066195048004,0.5055519268451992,0.8999603541694199,0.6889853037974456,0.6515242380968777,0.7024043566260337,,,
context_support_only,context_support_distance,1,9546,1979,7567,0.641805663577515,0.36937847397675594,0.5297101449275362,0.9142328531782741,0.6849233590736298,0.6472078105670435,0.7005823724099994,,,
context_plus_loss,context_support_distance|predicted_action_loss,2,9546,1979,7567,0.6416929764643198,0.37139969681657403,0.5246252676659529,0.9119862561120655,0.6834161898026276,0.6472086075918249,0.6992063314594797,,,
predicted_loss_only,predicted_action_loss,1,9546,1979,7567,0.5320473802733646,0.5214754926730673,0.22969062986868463,0.542619267873662,0.550251340676148,0.5328211998607661,0.5546935708416655,,,
diagnostic_context_support_distance,context_support_distance,1,9546,1979,7567,,,,,,,,2.642768867117993,6.936885262034273,0.8816077236630353
diagnostic_action_support_distance,action_support_distance,1,9546,1979,7567,,,,,,,,3.232893445666588,7.470085569268855,0.8858098159000736
diagnostic_action_support_minus_context,action_support_minus_context,1,9546,1979,7567,,,,,,,,0.5901245785485943,0.5332003072345827,-0.14069066164900113
diagnostic_predicted_action_loss,predicted_action_loss,1,9546,1979,7567,,,,,,,,0.14220034582315816,0.15069613650357483,0.1696100482592774
diagnostic_predicted_relative_loss,predicted_relative_loss,1,9546,1979,7567,,,,,,,,0.012257645211590283,0.01387062035781427,0.08023366000050272
